Content,Space,Topic,Mapping
"http://sweetontology.net/matrElement/Uranium,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matr/InorganicSubstance,http://sweetontology.net/matrElement/Carbon,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Carbon,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Carbon,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrMineral/Quartz,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrMineral/Feldspar,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrMineral/Feldspar,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Clay,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Clay,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Clay,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrIon/CO3minusminus,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matrCompound/Carbonate",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrMineral/Calcite,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrMineral/Hematite,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/matrMineral/Pyroxene,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/stateSolid/Amorphous,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",United States,Geology,Others
"http://sweetontology.net/matrRock/Rock,http://sweetontology.net/humanKnowledgeDomain/Geochemistry",United States,Geology,Others
"http://sweetontology.net/matrElement/Chromium,http://sweetontology.net/humanCommerce/Mining,http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral",Global,Geology,Point Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine",Alabama,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/propMass/Structure,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/humanKnowledgeDomain/Geology",Arkansas,Geology,Line Symbol Method
"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine",Arizona,Geology,Line Symbol Method
"http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/phenSolid/FaultLine",California,Geology,Line Symbol Method
"http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/phenSolid/FaultLine",Colorado,Geology,Line Symbol Method
"http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Colorado,Geology,Line Symbol Method
"http://sweetontology.net/phenSolid/FaultLine,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Georgia,Geology,Line Symbol Method
"http://sweetontology.net/realmGeol/Dike,http://sweetontology.net/stateRealm/Geological,http://sweetontology.net/propMass/Structure,http://sweetontology.net/humanKnowledgeDomain/Geology",Georgia,Geology,Line Symbol Method
