Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,2,60,0.2,0.6666666666666666,0.0,1.0,-0.8181517602114606,0.1082911411466805
S2,2,80,0.2,0.671875,0.0,1.0,-0.7771337693392344,0.08863648458580331
S2,2,100,0.2,0.7625,0.0,1.0,-0.7778600639212839,0.15563756809676346
S2,2,10,0.4,1.0,0.0,1.0,-0.8057834734038116,0.4630128151585762
S2,2,20,0.4,1.0,0.0,1.0,-0.8010975684807065,0.45246952908158955
S2,2,40,0.4,0.6666666666666666,0.023388194857824396,0.9766118051421756,-0.7325248961817585,0.3147466284316765
S2,2,60,0.4,1.0,0.0,1.0,-0.7597197121557903,0.35936935235052814
S2,2,80,0.4,1.0,0.0,1.0,-0.7617408148695417,0.36391683345646886
S2,2,100,0.4,0.6419753086419753,0.023388194857824396,0.9766118051421756,-0.9461605013713368,0.7199290982510643
S2,2,10,0.6,0.5,0.023388194857824396,0.9766118051421756,-0.6838731748240613,0.18871464335413793
S2,2,20,0.6,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7384630934807688,0.2654117070503287
S2,2,40,0.6,0.5185185185185185,0.023388194857824396,0.9766118051421756,-0.8739933859098692,0.5466509086347878
S2,2,60,0.6,0.5333333333333333,0.023388194857824396,0.9766118051421756,-0.7418852282080293,0.3103739367050641
S2,2,80,0.6,0.5161290322580645,0.023388194857824396,0.9766118051421756,-0.7086932572913833,0.2411631646152568
S2,2,100,0.6,0.5263157894736842,0.023388194857824396,0.9766118051421756,-0.753349074126312,0.33736796307788647
S2,2,10,0.8,0.25,0.5116940974289121,0.9766118051421756,0.522526323214015,0.11746587568245401
S2,2,20,0.8,0.25,0.5116940974289121,0.9766118051421756,0.5248998132879545,0.07847391930714684
S2,2,40,0.8,0.20588235294117646,0.6744627316192748,0.9766118051421756,0.5497120635181227,0.038351951064828894
S2,2,60,0.8,0.2,0.09032160834851599,0.909678391651484,-0.6996086905860085,0.0
S2,2,80,0.8,0.23529411764705882,0.5116940974289121,0.9766118051421756,0.5224046485217417,0.11688731673703792
S2,2,100,0.8,0.2222222222222222,0.09032160834851599,0.909678391651484,-0.7287806180164987,0.01700572467941713
S2,3,10,0.0,1.0,0.0,1.0,-0.8833333333333333,0.7083333333333333
S2,3,20,0.0,1.0,0.0,1.0,-0.9966736491498343,0.9916841228745856
S2,3,40,0.0,1.0,0.0,1.0,-0.9973864386177269,0.9934660965443173
S2,3,60,0.0,0.9666666666666667,0.0,1.0,-0.9884295368077138,0.9678369292125536
S2,3,80,0.0,0.975,0.0,1.0,-0.9949645593405051,0.9849428698553847
