Scene,Sindex,Num,Noise_Rate,Jaccard,Precisiom,Recall,best_argminC,best_avgConf
S2,2,80,0.8,0.2,0.4883059025710878,0.9766118051421756,0.5793295811226088,0.4148277741707608
S2,2,100,0.0,1.0,0.5,1.0,0.7708971899287169,0.16334014233566846
S2,2,100,0.2,1.0,0.5,1.0,0.7157435395594063,0.2694076777677425
S2,2,100,0.4,0.6741573033707865,0.5,1.0,0.7262085120635016,0.18711675440460368
S2,2,100,0.6,0.4,0.3333333333333333,1.0,0.7444898328534539,0.19990493882093027
S2,2,100,0.8,0.24390243902439024,0.4883059025710878,0.9766118051421756,0.5355954059074979,0.2879094909684948
S2,3,10,0.0,1.0,1.0,1.0,0.8833333333333333,0.1166666666666667
S2,3,10,0.2,1.0,1.0,1.0,0.47138047138047134,0.5065937149270483
S2,3,10,0.4,0.8571428571428571,0.14367369489655876,0.14367369489655876,0.7509824565322004,0.23518323549736628
S2,3,10,0.6,0.5,0.10736339226142354,0.21472678452284708,0.32019947434921825,0.1751246398928064
S2,3,10,0.8,0.2222222222222222,0.10736339226142354,0.21472678452284708,0.25715984320268187,0.1292706249006573
S2,3,20,0.0,1.0,1.0,1.0,0.9966736491498343,0.003326350850165749
S2,3,20,0.2,1.0,1.0,1.0,0.7237559778781849,0.27421281607680176
S2,3,20,0.4,0.8,0.24048683210281196,0.48097366420562393,0.0,0.5369784735140543
S2,3,20,0.6,0.4666666666666667,0.29113063149765434,0.873391894492963,0.5529116042296192,0.10040930399666391
S2,3,20,0.8,0.25,0.1303471804100121,0.39104154123003626,0.5975925185994695,0.16042759838969814
S2,3,40,0.0,1.0,1.0,1.0,0.9898152779579878,0.010184722042012151
S2,3,40,0.2,0.9375,0.6967869399687315,0.6967869399687315,0.49562166962767557,0.16286715440502952
S2,3,40,0.4,0.8518518518518519,0.45575727218502116,0.9115145443700423,0.3407708886407369,0.4858641233335274
S2,3,40,0.6,0.6666666666666666,0.07183684744827938,0.14367369489655876,0.5053558712268368,0.47403395674094806
S2,3,40,0.8,0.3076923076923077,0.06190412099824664,0.18571236299473992,0.6029047384199817,0.16329680525978096
S2,3,60,0.0,0.9666666666666667,1.0,1.0,0.9884295368077138,0.011531894981645207
S2,3,60,0.2,0.9791666666666666,0.873391894492963,0.873391894492963,0.6789936868887653,0.11585991115460206
S2,3,60,0.4,0.7727272727272727,0.3719738278830145,0.743947655766029,0.4835757854617534,0.14902796677316654
