Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S5,1_2,20,0.6,0.466666667,0.569016934,0.430983066,0.585742731,0.076218178,,,
S5,1_2,20,0.8,0.363636364,0.775322514,0.337016229,0.52739106,0.05980973,,,
S5,1_3,20,0,1,0,1,0.248592844,0.641225589,,,
S5,1_3,20,0.2,0.875,0.04697853,0.95302147,0.211562058,0.650523747,,,
S5,1_3,20,0.4,0.6875,0.421516861,0.578483139,0.202774673,0.369337462,,,
S5,1_3,20,0.6,0.470588235,0.423971627,0.864042559,0.621362934,0.061345134,,,
S5,1_3,20,0.8,0.176470588,0.541125412,0.688311882,0.624184797,0.022265174,,,
S5,1_4,20,0,1,0,1,0.247344975,0.645938967,,,
S5,1_4,20,0.2,1,0,1,0.422895765,0.367805723,,,
S5,1_4,20,0.4,0.75,0.335514011,0.664485989,0.344339219,0.312994101,,,
S5,1_4,20,0.6,0.428571429,0.679073582,0.320926418,0.607568898,0.030138389,,,
S5,1_4,20,0.8,0.2,0.659836795,0.340163205,0.474901909,0.028050076,,,
S5,1_5,20,0,1,0.011015581,0.988984419,0.474921625,0.314663352,,,
S5,1_5,20,0.2,1,0,1,0.546133223,0.193440795,,,
S5,1_5,20,0.4,0.8,0.247348537,0.376325732,-0.796182306,0.29389038,,,
S5,1_5,20,0.6,0.727272727,0.156317238,0.843682762,0.371544893,0.277018847,,,
S5,1_5,20,0.8,0.2,0.518495914,0.481504086,0.372880993,0.233656434,,,
S5,2_3,20,0,1,0.054255751,0.945744249,0.17649893,0.741258254,,,
S5,2_3,20,0.2,0.9375,0.054255751,0.945744249,0.156208916,0.499813395,,,
S5,2_3,20,0.4,0.785714286,0.237185593,0.762814407,0.298808638,0.358298309,,,
S5,2_3,20,0.6,0.5,0.415670915,0.584329085,0.495666673,0.160556138,,,
S5,2_3,20,0.8,0.363636364,0.606970384,0.589544425,0.641505512,0.055088753,,,
S5,2_4,20,0,1,0,1,0.342497629,0.478608602,,,
S5,2_4,20,0.2,0.9375,0.305103717,0.694896283,0.330751009,0.319201144,,,
S5,2_4,20,0.4,0.6875,0.552366049,0.447633951,0.395813025,0.244462682,,,
S5,2_4,20,0.6,0.571428571,0.898072696,0.101927304,0.488590292,0.268410678,,,
S5,2_4,20,0.8,0.230769231,0.864497088,0.203254368,0.571922586,0.036834564,,,
S5,2_5,20,0,0.95,0.060868611,0.939131389,0.278401466,0.400610749,,,
S5,2_5,20,0.2,0.764705882,0.196819923,0.803180077,0.234375657,0.400287995,,,
S5,2_5,20,0.4,0.769230769,0.401572405,0.598427595,0.407519532,0.109493778,,,
S5,2_5,20,0.6,0.5,0.567450058,0.432549942,0.44984766,0.323857941,,,
S5,2_5,20,0.8,0.2,0.673419643,0.326580357,0.362232061,0.03825371,,,
S5,3_4,20,0,1,0,1,0.212206692,0.692912257,,,
S5,3_4,20,0.2,1,0.04697853,0.95302147,0.206260993,0.675952213,,,
S5,3_4,20,0.4,0.785714286,0.428163153,0.571836847,0.303170379,0.529274881,,,
S5,3_4,20,0.6,0.466666667,0.680637056,0.479044416,0.639810835,0.049275367,,,
S5,3_4,20,0.8,0.2,0.565116016,0.434883984,0.605202003,0.018135341,,,
S5,3_5,20,0,1,0.00661286,0.99338714,0.298571014,0.566879862,,,
S5,3_5,20,0.2,1,0.00661286,0.99338714,0.481142752,0.283983125,,,
S5,3_5,20,0.4,0.625,0.403296045,0.895055933,0.64996302,0.036619572,,,
S5,3_5,20,0.6,0.4,0.304722766,0.695277234,0.610836652,0.049506873,,,
S5,3_5,20,0.8,0.1875,0.536836455,0.694745317,0.694441185,0.00408382,,,
S5,4_5,20,0,0.9,0.00661286,0.99338714,0.131940786,0.791770859,,,
S5,4_5,20,0.2,0.9375,0.00661286,0.99338714,0.146616994,0.730975018,,,
S5,4_5,20,0.4,0.75,0.551837421,0.448162579,0.167947192,0.719960347,,,
S5,4_5,20,0.6,0.4,0.577971175,0.422028825,0.433079313,0.178741531,,,
S5,4_5,20,0.8,0.2,0.616232915,0.383767085,0.381651439,0.21317984,0.676862618,0.326565689,0.697581231
