Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,Graph_time,Cluster_time
S2,1,10,0.6,0.4,0.16008241936129153,0.8399175806387085,0.358646597738201,0.0,0.07480072975158691,1.954772710800171
S2,1,20,0.6,0.4,0.7200274731204306,0.8399175806387085,0.48038670666132977,0.13714416310225735,0.03690147399902344,0.3281230926513672
S2,1,40,0.6,0.32432432432432434,0.6744959662786709,0.976512101163987,0.665240921659435,0.020283962837827633,0.16057109832763672,0.8577072620391846
S2,1,60,0.6,0.4,0.7200274731204306,0.8399175806387085,0.5467722376418649,0.09329962069856783,0.11469411849975586,0.3749964237213135
S2,1,80,0.6,0.4,0.5800412096806458,0.8399175806387085,0.45451598524364667,0.17534572482596664,0.19747185707092285,0.3400909900665283
S2,1,100,0.6,0.40404040404040403,0.5800412096806458,0.8399175806387085,0.5861827366633401,0.06949671609266099,0.2622978687286377,0.3670194149017334
S2,1,10,0.8,0.16666666666666666,0.5117439494180065,0.976512101163987,0.28069185512021055,0.23016614308621985,0.01795172691345215,0.29720640182495117
S2,1,20,0.8,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.14475272520777605,0.1296534538269043,1.247663974761963
S2,1,40,0.8,0.23529411764705882,0.7078477988844236,0.8764566033467293,0.5740044745991773,0.10760939597283026,0.11369800567626953,0.5565106868743896
S2,1,60,0.8,0.20689655172413793,0.7200274731204306,0.8399175806387085,0.6276027663398611,0.06894974634298938,0.10970664024353027,0.2932162284851074
S2,1,80,0.8,0.2,0.5117439494180065,0.976512101163987,0.6353134547169956,0.04237187586959599,0.2154240608215332,0.46475744247436523
S2,1,100,0.8,0.2,0.6744959662786709,0.976512101163987,0.6573259172849355,0.02817412267369468,0.19148874282836914,0.30019688606262207
S2,2,10,0.0,0.7,0.0,1.0,-0.9041813602141572,0.19652667883938757,0.10372257232666016,0.7280538082122803
S2,2,20,0.0,0.75,0.0,1.0,-0.8025484709066025,0.12503968131570634,0.1356356143951416,0.5026578903198242
S2,2,40,0.0,0.6,0.0,1.0,-0.802572595634199,0.08996661204131606,0.19248414039611816,0.34308385848999023
S2,2,60,0.0,0.65,0.0,1.0,-0.8091060512890131,0.07952244280570825,0.25831007957458496,0.499664306640625
S2,2,80,0.0,0.6375,0.0,1.0,-0.7980750788831784,0.07174791859816972,0.5046508312225342,0.6283199787139893
S2,2,100,0.0,0.66,0.0,1.0,-0.7891511778455629,0.0836404834292614,0.5196094512939453,0.6821780204772949
S2,2,10,0.2,0.875,0.5,1.0,0.5161352428069511,0.16173545528364747,0.09375333786010742,1.8081612586975098
S2,2,20,0.2,0.8421052631578947,0.5,1.0,0.6562356850685782,0.04345674456896696,0.04887080192565918,0.47373175621032715
S2,2,40,0.2,1.0,0.0,1.0,-0.7880584483551575,0.2788517531246655,0.22340059280395508,0.6283228397369385
S2,2,60,0.2,1.0,0.0,1.0,-0.7862313476707925,0.273065934290843,0.5575063228607178,1.0033209323883057
S2,2,80,0.2,0.703125,0.0,1.0,-0.7799361428843467,0.06745301188846826,0.38796210289001465,0.46176600456237793
S2,2,100,0.2,0.7625,0.0,1.0,-0.7801698111107598,0.0925034585588856,0.7539858818054199,0.8816413879394531
S2,2,10,0.4,0.4444444444444444,0.6666666666666667,1.0,0.6377385305139427,0.06060767697776729,0.06482625007629395,0.9494619369506836
S2,2,20,0.4,1.0,0.0,1.0,-0.8135620997237797,0.34068629917133914,0.29421210289001465,0.9015910625457764
S2,2,40,0.4,0.6486486486486487,0.023388194857824396,0.9766118051421756,-0.7760116854441831,0.24387082413342084,0.40192174911499023,0.856713056564331
S2,2,60,0.4,1.0,0.0,1.0,-0.7411757114103958,0.12352713423118764,0.23337674140930176,0.8716692924499512
S2,2,80,0.4,0.6666666666666666,0.0,1.0,-0.772245502706255,0.05508629698941065,0.3620333671569824,0.5475351810455322
S2,2,100,0.4,0.6593406593406593,0.023388194857824396,0.9766118051421756,-0.7572154382061259,0.1821358116228343,0.5475358963012695,0.6073768138885498
S2,2,10,0.6,0.5,0.5116940974289121,0.9766118051421756,0.31012629599497643,0.3691685148631885,0.048867225646972656,0.9743962287902832
