Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,60,0.2,0.3,0.8,0.023487899,0.976512101,-0.754989104,0.209396649
S2,1,60,0.2,0.4,0.8,0.023487899,0.976512101,-0.754989104,0.190603356
S2,1,60,0.2,0.5,0.8,0.023487899,0.976512101,-0.754989104,0.164292746
S2,1,60,0.2,0.6,0.8,0.023487899,0.976512101,-0.754989104,0.124826831
S2,1,60,0.2,0.7,0.941176471,0.5,1,0.640243297,0.070893923
S2,1,60,0.2,0.8,0.941176471,0.5,1,0.640243297,0.165840089
S2,1,60,0.2,0.9,0.941176471,0.5,1,0.640243297,0.239687108
S2,1,60,0.2,1,0.941176471,0.5,1,0.640243297,0.298764722
S2,1,80,0.2,0.2,1,0,1,-0.840036485,0.424907345
S2,1,80,0.2,0.3,1,0,1,-0.840036485,0.409736408
S2,1,80,0.2,0.4,1,0,1,-0.840036485,0.389508492
S2,1,80,0.2,0.5,1,0,1,-0.840036485,0.36118941
S2,1,80,0.2,0.6,0.8,0.511743949,0.976512101,0.402323464,0.134340754
S2,1,80,0.2,0.7,0.8,0.511743949,0.976512101,0.402323464,0.17340055
S2,1,80,0.2,0.8,0.8,0.511743949,0.976512101,0.388148298,0.209920469
S2,1,80,0.2,0.9,0.8,0.511743949,0.976512101,0.402323464,0.22548028
S2,1,80,0.2,1,0.8,0.511743949,0.976512101,0.402323464,0.243708185
S2,1,100,0.2,0.2,0.987654321,0.093612671,0.906387329,-0.781556161,0.213632305
S2,1,100,0.2,0.3,0.987654321,0.093612671,0.906387329,-0.781556161,0.202168811
S2,1,100,0.2,0.4,0.987654321,0.093612671,0.906387329,-0.781556161,0.186884151
S2,1,100,0.2,0.5,0.987654321,0.093612671,0.906387329,-0.781556161,0.165485628
S2,1,100,0.2,0.6,0.909090909,0.511743949,0.976512101,0.471914525,0.077065124
S2,1,100,0.2,0.7,0.909090909,0.511743949,0.976512101,0.471914525,0.117627493
S2,1,100,0.2,0.8,0.909090909,0.511743949,0.976512101,0.471914525,0.148049269
S2,1,100,0.2,0.9,0.909090909,0.511743949,0.976512101,0.471914525,0.171710651
S2,1,100,0.2,1,0.909090909,0.511743949,0.976512101,0.471914525,0.190639756
S2,1,10,0.4,0.2,0.6,0.023487899,0.976512101,-0.512934696,0.110701006
S2,1,10,0.4,0.3,0.6,0.023487899,0.976512101,-0.512934696,0.086086734
S2,1,10,0.4,0.4,0.714285714,0.5,1,0.187725444,0.295390288
S2,1,10,0.4,0.5,0.714285714,0.5,1,0.187725444,0.347636091
S2,1,10,0.4,0.6,0.714285714,0.5,1,0.187725444,0.382466626
S2,1,10,0.4,0.7,0.714285714,0.5,1,0.187725444,0.40734558
S2,1,10,0.4,0.8,0.714285714,0.5,1,0.187725444,0.426004795
S2,1,10,0.4,0.9,0.714285714,0.5,1,0.187725444,0.440517518
S2,1,10,0.4,1,0.714285714,0.5,1,0.187725444,0.452127696
S2,1,20,0.4,0.2,0.6,0.023487899,0.976512101,-0.650200688,0.18393259
S2,1,20,0.4,0.3,0.6,0.023487899,0.976512101,-0.650200688,0.163516459
S2,1,20,0.4,0.4,0.6,0.023487899,0.976512101,-0.650200688,0.136294951
S2,1,20,0.4,0.5,0.6,0.511743949,0.976512101,0.387603247,0.074018428
S2,1,20,0.4,0.6,0.8,0.501248703,0.997502594,0.539351638,0.069340305
S2,1,20,0.4,0.7,0.6,0.511743949,0.976512101,0.387603247,0.146948299
S2,1,20,0.4,0.8,0.6,0.511743949,0.976512101,0.387603247,0.169738884
S2,1,20,0.4,0.9,0.6,0.511743949,0.976512101,0.387603247,0.187464895
S2,1,20,0.4,1,0.6,0.511743949,0.976512101,0.387603247,0.201645703
S2,1,40,0.4,0.2,0.6,0.023487899,0.976512101,-0.727703483,0.284065465
S2,1,40,0.4,0.3,0.6,0.023487899,0.976512101,-0.727703483,0.263125665
S2,1,40,0.4,0.4,0.6,0.023487899,0.976512101,-0.727703483,0.235205933
S2,1,40,0.4,0.5,0.6,0.023487899,0.976512101,-0.727703483,0.196118306
S2,1,40,0.4,0.6,0.6,0.023487899,0.976512101,-0.727703483,0.137486867
S2,1,40,0.4,0.7,0.540540541,0.511743949,0.976512101,0.538963931,0.107487674
S2,1,40,0.4,0.8,0.540540541,0.511743949,0.976512101,0.538963931,0.152455845
S2,1,40,0.4,0.9,0.540540541,0.511743949,0.976512101,0.538963931,0.187431088
S2,1,40,0.4,1,0.540540541,0.511743949,0.976512101,0.538963931,0.215411283
S2,1,60,0.4,0.2,0.6,0.023487899,0.976512101,-0.783656638,0.251830236
S2,1,60,0.4,0.3,0.6,0.023487899,0.976512101,-0.778632132,0.236017519
S2,1,60,0.4,0.4,0.6,0.023487899,0.976512101,-0.783656638,0.220715025
S2,1,60,0.4,0.5,0.6,0.023487899,0.976512101,-0.778632132,0.192354178
S2,1,60,0.4,0.6,0.6,0.511743949,0.976512101,0.533964385,0.032136019
S2,1,60,0.4,0.7,0.6,0.511743949,0.976512101,0.415252859,0.118218075
S2,1,60,0.4,0.8,0.6,0.511743949,0.976512101,0.415252859,0.139768069
S2,1,60,0.4,0.9,0.6,0.511743949,0.976512101,0.415252859,0.156529176
S2,1,60,0.4,1,0.6,0.511743949,0.976512101,0.415252859,0.169938061
S2,1,80,0.4,0.2,0.6,0.023487899,0.976512101,-0.726616569,0.259202453
S2,1,80,0.4,0.3,0.6,0.023487899,0.976512101,-0.726616569,0.23997956
S2,1,80,0.4,0.4,0.6,0.023487899,0.976512101,-0.726616569,0.214349037
S2,1,80,0.4,0.5,0.6,0.023487899,0.976512101,-0.726616569,0.178466304
S2,1,80,0.4,0.6,0.6,0.023487899,0.976512101,-0.726616569,0.124642205
S2,1,80,0.4,0.7,0.6,0.511743949,0.976512101,0.54293808,0.098299323
S2,1,80,0.4,0.8,0.6,0.511743949,0.976512101,0.54293808,0.140774965
S2,1,80,0.4,0.9,0.6,0.511743949,0.976512101,0.54293808,0.173811574
S2,1,80,0.4,1,0.6,0.511743949,0.976512101,0.54293808,0.200240862
S2,1,100,0.4,0.2,0.6,0.023487899,0.976512101,-0.743050854,0.22704531
S2,1,100,0.4,0.3,0.6,0.023487899,0.976512101,-0.743050854,0.211698392
S2,1,100,0.4,0.4,0.6,0.023487899,0.976512101,-0.743050854,0.191235834
S2,1,100,0.4,0.5,0.6,0.023487899,0.976512101,-0.743050854,0.162588254
S2,1,100,0.4,0.6,0.6,0.023487899,0.976512101,-0.743050854,0.119616884
S2,1,100,0.4,0.7,0.6,0.511743949,0.976512101,0.59157569,0.062429471
S2,1,100,0.4,0.8,0.6,0.511743949,0.976512101,0.510113796,0.146049001
S2,1,100,0.4,0.9,0.6,0.511743949,0.976512101,0.510113796,0.174604885
S2,1,100,0.4,1,0.6,0.511743949,0.976512101,0.510113796,0.197449592
S2,1,10,0.6,0.2,0.4,0.023487899,0.976512101,-0.689603561,0.244230759
S2,1,10,0.6,0.3,0.4,0.023487899,0.976512101,-0.689603561,0.222111301
