Scene,folder,p,q,rep,jac_mean,Precision_mean,Recall_mean,CC_mean,Conf_mean,jac_median,Precision_median,Recall_median,CC_median,Conf_median
S5,6_7,"[0.4, 0.6]","[0, 1]",26,0.9980769230769231,0.5573860084417129,0.5573860084417129,0.3037168020609935,0.5043992292809775,1.0,0.5934783889413531,0.5934783889413531,0.30757376969941164,0.5238270733290316
S5,6_7,"[0.4, 0.6]","[0, 1]",27,0.9981481481481481,0.5594565020477978,0.5594565020477978,0.30158206420296924,0.5043349617176349,1.0,0.6014390581781536,0.6014390581781536,0.3061582955731702,0.5227466771968127
S5,6_7,"[0.4, 0.6]","[0, 1]",28,0.9982142857142857,0.5613791032534482,0.5613791032534482,0.3028120963625464,0.503278611000433,1.0,0.6014390581781536,0.6014390581781536,0.30757376969941164,0.5213089421796847
S5,6_7,"[0.4, 0.6]","[0, 1]",29,0.9982758620689655,0.5627950295169825,0.5627950295169825,0.29945130051763497,0.5075200000938374,1.0,0.6014390581781536,0.6014390581781536,0.3061582955731702,0.5227466771968127
S5,6_7,"[0.4, 0.6]","[0, 1]",30,0.9983333333333333,0.5602501247419577,0.5602501247419577,0.29294877152549675,0.5108434440028735,1.0,0.6014390581781536,0.6014390581781536,0.30369666333679834,0.5238270733290316
S5,6_7,"[0.4, 0.6]","[0, 1]",31,0.9983870967741936,0.5541617233214351,0.5541617233214351,0.288643923606185,0.51950362461236,1.0,0.6014390581781536,0.6014390581781536,0.30123503110042643,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",32,0.9984375,0.55635718801004,0.55635718801004,0.2908037868026484,0.521980449032515,1.0,0.6014390581781536,0.6014390581781536,0.30369666333679834,0.5264072039783292
S5,6_7,"[0.4, 0.6]","[0, 1]",33,0.9984848484848485,0.5588824773775409,0.5588824773775409,0.29081630663106767,0.5201217400782789,1.0,0.6014390581781536,0.6014390581781536,0.30123503110042643,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",34,0.998529411764706,0.5566224212990146,0.5566224212990146,0.29012379320479764,0.5208185480409628,1.0,0.6014390581781536,0.6014390581781536,0.29944040276118533,0.5264072039783292
S5,6_7,"[0.4, 0.6]","[0, 1]",35,0.9985714285714287,0.5533573859050035,0.5533573859050035,0.2943808390541082,0.5155262982492126,1.0,0.6014390581781536,0.6014390581781536,0.30123503110042643,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",36,0.9986111111111112,0.5525521399733292,0.5525521399733292,0.2936937658671448,0.5144074640783898,1.0,0.5934783889413531,0.5934783889413531,0.29944040276118533,0.5238270733290316
S5,6_7,"[0.4, 0.6]","[0, 1]",37,0.9986486486486488,0.5525273908675774,0.5525273908675774,0.2963525118752561,0.5155893518901846,1.0,0.5855177197045525,0.5855177197045525,0.30123503110042643,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",38,0.9986842105263158,0.5544192119857145,0.5544192119857145,0.29522048935969564,0.5170104846526413,1.0,0.5934783889413531,0.5934783889413531,0.29944040276118533,0.5264072039783292
S5,6_7,"[0.4, 0.6]","[0, 1]",39,0.9987179487179488,0.5566056869896083,0.5566056869896083,0.29138054627628024,0.5167317002387656,1.0,0.6014390581781536,0.6014390581781536,0.2976457744219442,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",40,0.99875,0.557726521269322,0.557726521269322,0.2920378715209305,0.5168646549719943,1.0,0.6014390581781536,0.6014390581781536,0.29944040276118533,0.5238270733290316
S5,6_7,"[0.4, 0.6]","[0, 1]",41,0.9987804878048782,0.5570278027850701,0.5570278027850701,0.28931801520494943,0.5152640168660666,1.0,0.6014390581781536,0.6014390581781536,0.2976457744219442,0.5227466771968127
S5,6_7,"[0.4, 0.6]","[0, 1]",42,0.9988095238095239,0.5567369143846528,0.5567369143846528,0.2927264228960211,0.517646521255318,1.0,0.5934783889413531,0.5934783889413531,0.29944040276118533,0.5238270733290316
S5,6_7,"[0.4, 0.6]","[0, 1]",43,0.9988372093023257,0.5583108604072606,0.5583108604072606,0.2915050025529643,0.5170726868422855,1.0,0.6014390581781536,0.6014390581781536,0.2976457744219442,0.5227466771968127
S5,6_7,"[0.4, 0.6]","[0, 1]",44,0.9988636363636364,0.5559578787028076,0.5559578787028076,0.2906246257543198,0.5136181914326751,1.0,0.5934783889413531,0.5934783889413531,0.2962089599888671,0.5223982833823646
S5,6_7,"[0.4, 0.6]","[0, 1]",45,0.9988888888888889,0.555861846355201,0.555861846355201,0.2917479334762092,0.5151378622188205,1.0,0.5855177197045525,0.5855177197045525,0.2976457744219442,0.5227466771968127
S5,6_7,"[0.4, 0.6]","[0, 1]",46,0.9989130434782609,0.5501793273772401,0.553380044479077,0.3014534006518991,0.5129381755763535,1.0,0.5834558699962551,0.5834558699962551,0.29944040276118533,0.5223982833823646
