Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,20,0.6,0.7,0.35294117647058826,0.6753268439696023,0.9740194680911933,0.6101598610551375,0.045314308979092936
S2,1,20,0.6,0.7,0.35294117647058826,0.6675429790177192,0.9973710629468422,0.6370022190867364,0.0376984106371158
S2,1,20,0.8,0.7,0.2,0.9126351527862462,0.1747296944275077,0.45658870701229504,0.1738652092769321
S2,1,20,0.8,0.7,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.14475272520777605
S2,1,20,0.8,0.7,0.2,0.5417649127798296,0.9164701744403406,0.5528930406560042,0.10507639953142554
S2,1,20,0.8,0.7,0.2,0.004742346666987585,0.9952576533330124,-0.7653286467151189,0.13063207646132882
S2,1,20,0.8,0.7,0.2,0.0023739912507230176,0.997626008749277,-0.7784904150961331,0.17121122926288415
S2,1,20,0.8,0.7,0.2,0.0002376531195940057,0.999762346880406,-0.8190137517149205,0.28269208359984865
S2,2,20,0.0,0.7,0.75,0.0,1.0,-0.7968407613620596,0.11357235268979154
S2,2,20,0.0,0.7,0.75,0.0,1.0,-0.8025484709066025,0.12503968131570634
S2,2,20,0.0,0.7,0.75,0.0,1.0,-0.8124657989730472,0.14568495514986687
S2,2,20,0.0,0.7,0.75,0.0,1.0,-0.8292589428575099,0.18294297036972634
S2,2,20,0.0,0.7,0.75,0.0,1.0,-0.8381944334065564,0.20552432886381256
S2,2,20,0.0,0.7,0.7,0.0,1.0,-0.8568690716884224,0.2277102302369223
S2,2,20,0.2,0.7,0.8421052631578947,0.5,1.0,0.6486906462617827,0.0727755119348183
S2,2,20,0.2,0.7,0.8421052631578947,0.5,1.0,0.6459412550206072,0.07667515869526119
S2,2,20,0.2,0.7,0.8421052631578947,0.5,1.0,0.643751675219922,0.07978078718806969
S2,2,20,0.2,0.7,1.0,0.0,1.0,-0.7665872755619221,0.2108597059460867
S2,2,20,0.2,0.7,1.0,0.0,1.0,-0.7845584242955739,0.26776834360265067
S2,2,20,0.2,0.7,1.0,0.0,1.0,-0.8047291576928726,0.33164233269409654
S2,2,20,0.4,0.7,1.0,0.0,1.0,-0.8139217397666136,0.341765219299841
S2,2,20,0.4,0.7,1.0,0.0,1.0,-0.8150590971495902,0.3451772914487708
S2,2,20,0.4,0.7,1.0,0.0,1.0,-0.8257573481936002,0.3772720445808008
S2,2,20,0.4,0.7,0.75,0.0,1.0,-0.8378372534208275,0.15103478297775913
S2,2,20,0.4,0.7,0.75,0.0,1.0,-0.8863823229972042,0.22039498351645384
S2,2,20,0.4,0.7,0.75,0.0,1.0,-0.8836762177489084,0.2467217309341487
S2,2,20,0.6,0.7,0.5714285714285714,0.21074072051082304,0.789259279489177,-0.7563662932867794,0.04429560551247343
S2,2,20,0.6,0.7,0.5714285714285714,0.023388194857824396,0.9766118051421756,-0.7669925440437877,0.05741110335805483
S2,2,20,0.6,0.7,0.5714285714285714,0.011763284864311663,0.9882367151356883,-0.7883982585490946,0.08584527626017198
S2,2,20,0.6,0.7,0.6153846153846154,0.0047220239091221305,0.9952779760908779,-0.8191656161400602,0.10329019857867967
S2,2,20,0.6,0.7,0.6153846153846154,0.0023638057433572612,0.9976361942566427,-0.8355939077346254,0.14045446652482868
S2,2,20,0.6,0.7,0.6153846153846154,0.0002366323924002378,0.9997633676075998,-0.8529079819415541,0.19498002110895046
S2,2,20,0.8,0.7,0.2222222222222222,0.7369135735036076,0.789259279489177,0.5893146772543225,0.12337042779928446
S2,2,20,0.8,0.7,0.2222222222222222,0.6744627316192748,0.9766118051421756,0.5886360666413247,0.12525552634345408
S2,2,20,0.8,0.7,0.2222222222222222,0.6705877616214373,0.9882367151356883,0.599635186946037,0.11406940233213092
S2,2,20,0.8,0.7,0.2222222222222222,0.668240674636374,0.9952779760908779,0.6142268427194321,0.09975745688979128
S2,2,20,0.8,0.7,0.125,0.5011819028716786,0.9976361942566427,0.5922061954333461,0.10716137785178947
S2,2,20,0.8,0.7,0.125,0.5001183161962002,0.9997633676075998,0.4543239410700571,0.24726368606526028
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.9999999999957411,0.9999999999858036
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.989372463956161,0.9645748798538699
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.9660093126226795,0.8866977087422651
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.9339959602560927,0.7799865341869756
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.9184801446744897,0.7282671489149657
S2,3,20,0.0,0.7,1.0,0.0,1.0,-0.901989093747685,0.67329697915895
S2,3,20,0.2,0.7,1.0,0.9992497771100154,0.0007502228899845791,-0.9476861510258514,0.22654726160644198
