Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\1_5\P[0.6, 0.8]_Q[0, 1].json",0.004985809,0.00498724,0.167551517,0.177524567,1,0.595597814,0.893396721,0.742353559,0.817227352,144
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.00199461,0.036901474,0.041887999,1,0.666666667,1,0.720177505,0.957331306,80
"Samples\AvailableSamples\S5\1_6\P[0, 0.2]_Q[0, 1].json",0.023859262,0.021939516,0.272222996,0.318021774,1,0.271784018,0.271784018,0.567721694,0.355165885,2603
"Samples\AvailableSamples\S5\1_6\P[0.2, 0.4]_Q[0, 1].json",0.017540216,0.01495862,0.269281626,0.301780462,1,0.191818655,0.191818655,0.601622064,0.51272146,2654
"Samples\AvailableSamples\S5\1_6\P[0.4, 0.6]_Q[0, 1].json",0.022938251,0.072803259,0.984062195,1.079803705,1,0.352088285,0.352088285,0.253728119,0.717745901,976
"Samples\AvailableSamples\S5\1_6\P[0.6, 0.8]_Q[0, 1].json",0.007978201,0.014961004,0.477721214,0.500660419,0.9,0.709947872,0.709947872,0.267085996,0.793675576,188
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997066,0.036901236,0.040889978,1,0.707193196,0.707193196,0,0.879821383,35
"Samples\AvailableSamples\S5\1_7\P[0, 0.2]_Q[0, 1].json",0.022938013,0.02452302,0.278256178,0.325717211,1,0.201668323,0.302502485,0.59122368,0.303456909,2787
"Samples\AvailableSamples\S5\1_7\P[0.2, 0.4]_Q[0, 1].json",0.013961315,0.014958143,0.250332355,0.279251814,1,0.359756595,0.359756595,0.257964621,0.366601558,2723
"Samples\AvailableSamples\S5\1_7\P[0.4, 0.6]_Q[0, 1].json",0.021941423,0.04587388,0.685956955,0.753772259,1,0.460467287,0.460467287,0.24693756,0.574540652,816
"Samples\AvailableSamples\S5\1_7\P[0.6, 0.8]_Q[0, 1].json",0.004986525,0.00099802,0.042884588,0.048869133,1,0.789545299,0.789545299,0.29833403,0.636431576,165
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0,0.038896561,0.040890932,1,0.911585627,0.911585627,0,0.854821383,41
"Samples\AvailableSamples\S5\2_4\P[0, 0.2]_Q[0, 1].json",0.031914473,0.061833858,0.514196396,0.607944727,1,0.121412448,0.121412448,0.394173356,0.381056692,3811
"Samples\AvailableSamples\S5\2_4\P[0.2, 0.4]_Q[0, 1].json",0.011969566,0.004985094,0.086767673,0.103722334,1,0.180261947,0.180261947,0.483957697,0.355204789,2262
"Samples\AvailableSamples\S5\2_4\P[0.4, 0.6]_Q[0, 1].json",0.007979155,0.003988743,0.087765932,0.099733829,1,0.176850729,0.265276093,0.53721666,0.490921006,405
"Samples\AvailableSamples\S5\2_4\P[0.6, 0.8]_Q[0, 1].json",0.006981611,0.00199461,0.081781387,0.090757608,1,0.403760867,0.403760867,0.003405358,0.686601114,220
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.00398922,0.000997305,0.039893627,0.044880152,1,0.624853981,0.624853981,0,0.901041667,97
"Samples\AvailableSamples\S5\2_5\P[0, 0.2]_Q[0, 1].json",0.023936033,0.027924299,0.276261806,0.328122139,1,0.210878785,0.210878785,0.61275156,0.306799764,2195
"Samples\AvailableSamples\S5\2_5\P[0.2, 0.4]_Q[0, 1].json",0.008975506,0.003988981,0.085771084,0.098735571,0.95,0.342863151,0.342863151,0.59362428,0.314605222,2311
"Samples\AvailableSamples\S5\2_5\P[0.4, 0.6]_Q[0, 1].json",0.007978678,0.006980896,0.168248653,0.183208227,0.95,0.488171764,0.488171764,0.393446281,0.48171721,586
"Samples\AvailableSamples\S5\2_5\P[0.6, 0.8]_Q[0, 1].json",0.015957117,0.031911612,0.558508396,0.606377125,1,0.69959288,0.69959288,0.144881548,0.689035737,138
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.010970116,0.008975267,0.235370874,0.255316257,1,0.699105346,0.699105346,0,0.8125,157
"Samples\AvailableSamples\S5\2_6\P[0, 0.2]_Q[0, 1].json",0.023934841,0.039890289,0.173229694,0.237054825,0.95,0.082215213,0.041107607,-0.859556419,0.375780243,3105
"Samples\AvailableSamples\S5\2_6\P[0.2, 0.4]_Q[0, 1].json",0.007978916,0.001995087,0.040890694,0.050864697,1,0.206275007,0.206275007,0.507631222,0.315299106,1919
