Scene,Index,P,Q,Jaccard,Precision,Recall,20,30,,,,,,,,,,
S4,1_5,"[0, 0.2]","[0, 1]",1,0.490732208,0.245366104,,,,,,,,,,,,
S4,1_5,"[0.2, 0.4]","[0, 1]",1,0.579760635,0.289880318,,,,,,,,,,,,
S4,1_5,"[0.4, 0.6]","[0, 1]",0.966666667,1,0.5,,,,,,,,,,,,
S4,1_5,"[0.6, 0.8]","[0, 1]",1,1,0.5,,,,,,,,,,,,
S4,1_5,"[0.8, 1.0]","[0, 1]",0.655172414,1,0.5,,,,,,,,,,,,
S4,2_3,"[0, 0.2]","[0, 1]",0.566666667,0.225686193,0.225686193,,,,,,,,,,,,
S4,2_3,"[0.2, 0.4]","[0, 1]",0.619047619,0.18404074,0.09202037,,,,,,,,,,,,
S4,2_3,"[0.4, 0.6]","[0, 1]",0.391304348,0.30033883,0.150169415,,,,,,,,,,,,
S4,2_3,"[0.6, 0.8]","[0, 1]",1,1,1,,,,,,,,,,,,
S4,2_3,"[0.8, 1.0]","[0, 1]",0.576923077,0.30033883,0.150169415,,,,,,,,,,,,
S4,2_4,"[0, 0.2]","[0, 1]",0.866666667,0.487059697,0.243529849,,,,,,,,,,,,
S4,2_4,"[0.2, 0.4]","[0, 1]",0.8,0.786793442,0.393396721,,,,,,,,,,,,
S4,2_4,"[0.4, 0.6]","[0, 1]",0.833333333,0.786793442,0.393396721,,,,,,,,,,,,
S4,2_4,"[0.6, 0.8]","[0, 1]",1,1,0.5,,,,,,,,,,,,
S4,2_4,"[0.8, 1.0]","[0, 1]",0.923076923,0.786793442,0.393396721,,,,,,,,,,,,
S4,2_5,"[0, 0.2]","[0, 1]",0.7,0.252903005,0.126451502,,,,,,,,,,,,
S4,2_5,"[0.2, 0.4]","[0, 1]",0.666666667,0.212873015,0.106436507,,,,,,,,,,,,
S4,2_5,"[0.4, 0.6]","[0, 1]",0.827586207,0.318805446,0.318805446,,,,,,,,,,,,
S4,2_5,"[0.6, 0.8]","[0, 1]",1,0.707193196,0.707193196,,,,,,,,,,,,
S4,2_5,"[0.8, 1.0]","[0, 1]",0.5,0.337572985,0.168786492,,,,,,,,,,,,
S4,3_4,"[0, 0.2]","[0, 1]",0.517241379,0.237227149,0.118613574,,,,,,,,,,,,
S4,3_4,"[0.2, 0.4]","[0, 1]",0.866666667,0.619043921,0.30952196,,,,,,,,,,,,
S4,3_4,"[0.4, 0.6]","[0, 1]",0.866666667,0.487059697,0.243529849,,,,,,,,,,,,
S4,3_4,"[0.6, 0.8]","[0, 1]",1,0.751306301,0.751306301,,,,,,,,,,,,
S4,3_4,"[0.8, 1.0]","[0, 1]",0.9,0.786793442,0.393396721,,,,,,,,,,,,
S4,3_5,"[0, 0.2]","[0, 1]",0.888888889,0.30033883,0.150169415,,,,,,,,,,,,
S4,3_5,"[0.2, 0.4]","[0, 1]",0.866666667,0.213973062,0.106986531,,,,,,,,,,,,
