Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S2,2,10,0.2,0.875,0.5,1.0,0.5152203773166284,0.16681242083351647,0.09092476525278186,0.7867812145671029,79.41229667409648
S2,2,10,0.4,0.4444444444444444,0.6666666666666667,1.0,0.6380406312280651,0.06037300055631834,0.19572592149732504,0.7265030104246811,31.39183648346029
S2,2,10,0.6,0.5,0.5116940974289121,0.9766118051421756,0.31012629599497643,0.3691685148631885,0.05482794964085489,0.858098118059649,132.5421607288769
S2,2,10,0.8,0.2,0.5116940974289121,0.9766118051421756,0.39470761458087644,0.41432538021166765,0.18645041442758042,0.6631720125585595,34.90622008584354
S2,2,20,0.0,0.75,0.0,1.0,-0.8025484709066025,0.12503968131570634,1.0,-1.0,0.0
S2,2,20,0.2,0.8421052631578947,0.5,1.0,0.6529480200280031,0.04682497106219387,0.009626624432569092,0.9498996888835884,1657.3331270236652
S2,2,20,0.4,1.0,0.0,1.0,-0.8101196002652906,0.330358800795872,1.0,-1.0,0.0
S2,2,20,0.6,0.5714285714285714,0.023388194857824396,0.9766118051421756,-0.7726714621726034,0.06227780845649486,1.0,-1.0,0.0
S2,2,20,0.8,0.2222222222222222,0.6744627316192748,0.9766118051421756,0.5969650801122219,0.06079823762301321,0.15881700753602493,0.7826251561264121,92.11368087369723
S2,2,40,0.0,0.6,0.0,1.0,-0.802572595634199,0.08996661204131606,1.0,-1.0,0.0
S2,2,40,0.2,1.0,0.0,1.0,-0.7910282869748808,0.28825624208712264,1.0,-1.0,0.0
S2,2,40,0.4,0.6486486486486487,0.023388194857824396,0.9766118051421756,-0.7743312981043972,0.23847958141827433,1.0,-1.0,0.0
S2,2,40,0.6,0.45714285714285713,0.023388194857824396,0.9766118051421756,-0.7141496847022375,0.04421776469449231,1.0,-1.0,0.0
S2,2,40,0.8,0.25,0.5116940974289121,0.9766118051421756,0.6024100257026184,0.0838456353519109,0.11841048830886453,0.7762279637650018,275.80659632035633
S2,2,60,0.0,0.65,0.0,1.0,-0.804137297172587,0.07590094371953506,1.0,-1.0,0.0
S2,2,60,0.2,1.0,0.0,1.0,-0.7863467698561661,0.2734314378778595,1.0,-1.0,0.0
S2,2,60,0.4,1.0,0.0,1.0,-0.7411757114103958,0.12352713423118764,1.0,-1.0,0.0
S2,2,60,0.6,0.4444444444444444,0.5116940974289121,0.9766118051421756,0.6331490104228173,0.09041684767548838,0.11623480988011396,0.7766762064403404,392.5154168475175
S2,2,60,0.8,0.22641509433962265,0.5116940974289121,0.9766118051421756,0.6709988790553005,0.024849280223906103,0.17853721937940795,0.7038383185096971,262.5631515200893
S2,2,80,0.0,0.6375,0.0,1.0,-0.7980750788831784,0.07174791859816972,1.0,-1.0,0.0
S2,2,80,0.2,0.703125,0.0,1.0,-0.7799361428843467,0.06745301188846826,1.0,-1.0,0.0
S2,2,80,0.4,0.6666666666666666,0.0,1.0,-0.772245502706255,0.05508629698941065,1.0,-1.0,0.0
S2,2,80,0.6,0.463768115942029,0.5116940974289121,0.9766118051421756,0.6400910705906316,0.05787219252902738,0.10996143749231477,0.7908575908196922,554.0348372067676
S2,2,80,0.8,0.2,0.09032160834851599,0.909678391651484,-0.7085616117797018,0.0,1.0,-1.0,0.0
S2,2,100,0.0,0.66,0.0,1.0,-0.7891511778455629,0.0836404834292614,1.0,-1.0,0.0
S2,2,100,0.2,0.7625,0.0,1.0,-0.7813100532158265,0.09381912011342526,1.0,-1.0,0.0
S2,2,100,0.4,0.6593406593406593,0.023388194857824396,0.9766118051421756,-0.7542482652803109,0.17269031114232303,1.0,-1.0,0.0
S2,2,100,0.6,0.5405405405405406,0.023388194857824396,0.9766118051421756,-0.7217143184920878,0.06297152362705467,1.0,-1.0,0.0
S2,2,100,0.8,0.24096385542168675,0.5116940974289121,0.9766118051421756,0.5977575714203169,0.08852122037978892,0.13321843933212432,0.7653248818535795,609.8570894726629
S2,3,10,0.0,1.0,0.0,1.0,-0.9946862319780804,0.9822874399269346,1.0,-1.0,0.0
S2,3,10,0.2,1.0,0.5496849200504431,0.4503150799495569,-0.9364630260786093,0.22511924461111524,1.0,-1.0,0.0
S2,3,10,0.4,1.0,0.08848545562995769,0.9115145443700423,-0.8975219419419121,0.3248371560188835,1.0,-1.0,0.0
S2,3,10,0.6,0.8,0.7852732154771529,0.21472678452284708,0.2338089499176699,0.20789974295255545,0.09694961792512871,0.7856968825101659,74.49641415504826
S2,3,10,0.8,0.25,0.90714381850263,0.18571236299473992,0.3379472404208945,0.16944483230628127,0.05183146337335974,0.8386591332787807,127.49378460517784
S2,3,20,0.0,1.0,0.0,1.0,-0.989372463956161,0.9645748798538699,1.0,-1.0,0.0
S2,3,20,0.2,1.0,0.5130111351249478,0.48698886487505216,-0.9528114322562732,0.2562179341638342,1.0,-1.0,0.0
S2,3,20,0.4,0.7333333333333333,0.6516065300156342,0.6967869399687315,0.0011597719187221394,0.6538931959448084,0.00679591220470564,0.9743985771638902,2282.3534045458623
S2,3,20,0.6,0.6666666666666666,0.5633040527535185,0.873391894492963,0.593994055145359,0.051228727122855075,0.12087936168985605,0.8026718370855227,107.77175140179001
S2,3,20,0.8,0.3076923076923077,0.9281631525517207,0.14367369489655876,0.2940882532299681,0.5436318037098642,0.09247098355509512,0.8236705743969438,165.58412817566645
S2,3,40,0.0,1.0,0.0,1.0,-0.9880440219506812,0.960146739835604,1.0,-1.0,0.0
S2,3,40,0.2,0.9375,0.0,1.0,-0.976793249032391,0.8871714852026802,1.0,-1.0,0.0
S2,3,40,0.4,0.8846153846153846,0.8044792293849818,0.39104154123003626,0.47821186545907585,0.07737474121325466,0.021221524857572796,0.967787871374825,1521.8913502790856
S2,3,40,0.6,0.5925925925925926,0.7852732154771529,0.21472678452284708,-0.8617131333636333,0.14997384612643458,1.0,-1.0,0.0
S2,3,40,0.8,0.23529411764705882,0.8926366077385764,0.21472678452284708,0.6440081488882412,0.014468091048689206,0.26439916687486936,0.6892518559447599,105.53919908483914
S2,3,60,0.0,0.9833333333333333,0.0,1.0,-0.9893661808257992,0.9629463461925207,1.0,-1.0,0.0
S2,3,60,0.2,0.92,0.5,1.0,0.5953409977135025,0.14637927895068198,0.01411926370777203,0.9862173644347189,3694.4329473861776
S2,3,60,0.4,0.6428571428571429,0.7520174480779903,0.743947655766029,0.6008172782234247,0.06839541814166085,0.06787176213865091,0.9465467033531834,729.1225208859967
S2,3,60,0.6,0.47058823529411764,0.8926366077385764,0.21472678452284708,0.606077086606819,0.09865106765092056,0.09475692522403148,0.8850140253113838,525.1273204016524
S2,3,60,0.8,0.21428571428571427,0.7947784041430238,0.6156647875709285,0.6557945387191162,0.03964078581567438,0.37771842437388914,0.6184232542411036,104.0755471706498
S2,3,80,0.0,0.9875,0.0,1.0,-0.9970193043326017,0.9888267673406197,1.0,-1.0,0.0
S2,3,80,0.2,0.9264705882352942,0.6280261721169855,0.743947655766029,0.6027429920626659,0.049548112365650696,0.019119684039152447,0.9806310006670339,3897.3739327342973
S2,3,80,0.4,0.6911764705882353,0.6666666666666667,1.0,0.6378937136458277,0.08791100402840601,0.2893448760883082,0.877775340927281,197.6459429004106
S2,3,80,0.6,0.49230769230769234,0.7947784041430238,0.6156647875709285,0.5689672247814399,0.12814115202958912,0.21698992554812246,0.7943227383004694,263.7121532615681
S2,3,80,0.8,0.2807017543859649,0.8563263051034412,0.14367369489655876,-0.7592344916781878,0.14049048851086884,1.0,-1.0,0.0
S2,3,100,0.0,0.98,0.0,1.0,-0.9959712093068799,0.9845975562942204,1.0,-1.0,0.0
S2,3,100,0.2,0.9397590361445783,0.6280261721169855,0.743947655766029,0.5616229576283833,0.06824351423387777,0.05972551976852206,0.9776950022064992,1493.4370805282426
S2,3,100,0.4,0.9523809523809523,0.7304087662086962,0.2695912337913038,-0.9503428643837176,0.17431952815193716,1.0,-1.0,0.0
S2,3,100,0.6,0.45454545454545453,0.8926366077385764,0.21472678452284708,0.545007863179129,0.04709338514856613,0.1695669704462394,0.7729274701898758,470.37796535810094
S2,3,100,0.8,0.21739130434782608,0.90714381850263,0.18571236299473992,0.5076922099429296,0.03356485575345806,0.1834228411408143,0.7410827412527865,399.5472622589187
S2,4,10,0.0,1.0,0.0,1.0,-0.775638649916879,0.25212883305626355,1.0,-1.0,0.0
S2,4,10,0.2,1.0,0.5,1.0,0.3751573922421626,0.4419627316433161,0.07039205345518115,0.8576159551102437,105.39485259454686
S2,4,10,0.4,0.8571428571428571,0.5,1.0,0.6228370557705902,0.10432745010608968,0.08775699676782675,0.8247330032465652,79.72287572704779
S2,4,10,0.6,0.4,0.5176494110816676,0.9647011778366646,0.6351899332384314,0.058096736467089086,0.11762718092293041,0.7370782369424993,59.86583274678928
