Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0,0.034906864,0.037898779,1,0.707193196,0.707193196,0,0.95,35
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.035904169,0.038895845,1,0.911585627,0.911585627,0,0.933333333,41
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.005984306,0.002992392,0.111700773,0.120677471,1,0.794059265,0.794059265,0,0.797091828,97
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.004986763,0.005984306,0.229988575,0.240959644,1,0.794059265,0.794059265,0,0.780425161,157
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.00398922,0.001994848,0.117684841,0.123668909,1,0.707193196,0.707193196,0.271232646,0.825944738,112
"Samples\AvailableSamples\S5\2_7\P[0.8, 1.0]_Q[0, 1].json",0.004986525,0.003989458,0.227391481,0.236367464,1,0.705644892,0.705644892,0,0.763758494,118
"Samples\AvailableSamples\S5\4_5\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0,0.038895845,0.041887999,1,1,1,0.228174603,0.916666667,76
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997305,0.077792168,0.081781149,1,0.707193196,0.707193196,0.202821869,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997543,0.035904169,0.039893389,1,0.911585627,0.911585627,0,0.9,37
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.002991438,0.000997543,0.038896084,0.042885065,1,0.707193196,0.707193196,0,0.9,91
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0,0.036901474,0.039893627,1,0.911585627,0.911585627,0,0.883333333,97
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.001994371,0,0.039893627,0.041887999,1,0.618778823,0.618778823,0,0.883333333,52
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.5,avgRecall,0.784675412,
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.005954504,0.004983902,0.236155748,0.247094154,1,0.794059265,0.794059265,0,0.830425161,101
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.000997066,0.035904408,0.039893389,1,1,1,0.214285714,0.966666667,20
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.000997066,0.000997066,0.006981134,0.008975267,1,1,0.5,-0.95,0.95,80
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.035903931,0.038895607,1,0.707193196,0.707193196,0,0.95,35
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.001994133,0.000997782,0.033909321,0.036901236,1,0.911585627,0.911585627,0,0.933333333,41
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.006980896,0.000997066,0.114693403,0.122671366,1,0.794059265,0.794059265,0,0.797091828,97
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.005984306,0.001994848,0.227391005,0.235370159,1,0.794059265,0.794059265,0,0.780425161,157
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.003988743,0.001994848,0.114693165,0.120676756,1,0.501252461,0.501252461,0.291590341,0.780425161,112
"Samples\AvailableSamples\S5\2_7\P[0.8, 1.0]_Q[0, 1].json",0.003988981,0.002990723,0.220411539,0.227391243,1,0.705644892,0.705644892,0,0.763758494,118
"Samples\AvailableSamples\S5\4_5\P[0.8, 1.0]_Q[0, 1].json",0.002992392,0.000996828,0.035904169,0.039893389,1,1,1,0.228174603,0.916666667,76
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.002991438,0.00199461,0.075797796,0.080783844,1,0.707193196,0.707193196,0.202821869,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997066,0.038552999,0.042541742,1,0.911585627,0.911585627,0,0.9,37
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.002992392,0.000996828,0.036900997,0.040890217,1,0.707193196,0.707193196,0,0.9,91
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.001995325,0,0.037898779,0.039894104,1,0.911585627,0.911585627,0,0.883333333,97
