Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S5,1_2,100,0.2,0.9875,0.138055108,0.861944892,0.374000206,0.382662832
S5,1_3,100,0.2,1,0,1,0.265805954,0.695181478
S5,1_4,100,0.2,1,0.282593621,0.717406379,0.356684684,0.379394996
S5,1_5,100,0.2,0.930232558,0.103476047,0.896523953,0.353143929,0.314873641
S5,2_3,100,0.2,0.9875,0.138415541,0.861584459,0.002832175,0.359719923
S5,2_4,100,0.2,0.9875,0.195074064,0.804925936,0.060400389,0.298179962
S5,2_5,100,0.2,0.9875,0.177853851,0.822146149,0.214389384,0.444768708
S5,3_4,100,0.2,0.987654321,0.08521168,0.91478832,0.244267751,0.280991372
S5,3_5,100,0.2,0.9,0.00661286,0.99338714,0.266107335,0.675616073
S5,4_5,100,0.2,0.95,0.263118427,0.736881573,0.103267396,0.498531236
