Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,20,0.4,0.5,0.6,0.023487898836012988,0.976512101163987,-0.6294938746308592,0.0846489821209599
S2,1,20,0.4,0.6,0.8,0.5012487030999995,0.997502593800001,0.5393516375752634,0.06934030498006202
S2,1,20,0.4,0.65,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0
S2,1,20,0.4,0.7,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0
S2,1,20,0.4,0.75,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0
S2,1,20,0.4,0.8,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0
S2,1,20,0.4,0.9,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0
S2,1,20,0.4,1.0,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0
S2,1,20,0.6,0.2,0.4,0.023487898836012988,0.976512101163987,-0.43129907913181587,0.11275546835211982
S2,1,20,0.6,0.3,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.1476399468760636
S2,1,20,0.6,0.4,0.4,0.5800412096806458,0.8399175806387085,0.2040822042492884,0.0
S2,1,20,0.6,0.5,0.4,0.5800412096806458,0.8399175806387085,0.3543570570734432,0.09676618221689925
S2,1,20,0.6,0.6,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.2925699734380318
S2,1,20,0.6,0.65,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.3037184370197217
S2,1,20,0.6,0.7,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.31327426294688443
S2,1,20,0.6,0.75,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.32155597875042546
S2,1,20,0.6,0.8,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.32880248007852386
S2,1,20,0.6,0.9,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.3408799822920212
S2,1,20,0.6,1.0,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.3505419840628191
S2,1,20,0.8,0.2,0.2,0.023487898836012988,0.976512101163987,-0.8238885713107168,0.3081246864271714
S2,1,20,0.8,0.3,0.2,0.023487898836012988,0.976512101163987,-0.8238885713107168,0.2956993268731813
S2,1,20,0.8,0.4,0.2,0.023487898836012988,0.976512101163987,-0.8238885713107168,0.27913218080119423
S2,1,20,0.8,0.5,0.2,0.023487898836012988,0.976512101163987,-0.8238885713107168,0.25593817630041243
S2,1,20,0.8,0.6,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.09977216981199909
S2,1,20,0.8,0.65,0.17647058823529413,0.5514558087350405,0.897088382529919,0.534844187574135,0.14724413891752086
S2,1,20,0.8,0.7,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.15305429935019937
S2,1,20,0.8,0.75,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.17436715116547952
S2,1,20,0.8,0.8,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.19301589650384965
S2,1,20,0.8,0.9,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.22409713873446646
S2,1,20,0.8,1.0,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.24896213251895993
S2,2,20,0.0,0.2,0.95,0.0,1.0,-0.6908311471327698,0.5490671186008398
S2,2,20,0.0,0.3,0.95,0.0,1.0,-0.6908311471327698,0.4996598305179999
S2,2,20,0.0,0.4,0.95,0.0,1.0,-0.6908311471327698,0.4337834464075465
S2,2,20,0.0,0.5,0.95,0.0,1.0,-0.6908311471327698,0.34155650865291187
S2,2,20,0.0,0.6,0.95,0.0,1.0,-0.6908311471327698,0.2032161020209599
S2,2,20,0.0,0.65,1.0,0.5,1.0,0.5592278590830335,0.13828922567270122
S2,2,20,0.0,0.7,1.0,0.5,1.0,0.5592278590830335,0.19914426242891822
S2,2,20,0.0,0.75,1.0,0.5,1.0,0.5592278590830335,0.2518852942843064
S2,2,20,0.0,0.8,0.75,0.5,1.0,0.6690411017966487,0.09207527007142727
S2,2,20,0.0,0.9,1.0,0.5,1.0,0.5592278590830335,0.37494770194687876
S2,2,20,0.0,1.0,1.0,0.5,1.0,0.5592278590830335,0.43647890577816484
S2,2,20,0.2,0.2,0.8125,0.0,1.0,-0.7357434323801869,0.22426331567727698
S2,2,20,0.2,0.3,0.8125,0.0,1.0,-0.7357434323801869,0.20846069437384998
S2,2,20,0.2,0.4,0.8125,0.0,1.0,-0.7357434323801869,0.18739053263594724
S2,2,20,0.2,0.5,0.8125,0.0,1.0,-0.7357434323801869,0.15789230620288347
S2,2,20,0.2,0.6,0.8125,0.0,1.0,-0.7357434323801869,0.11364496655328776
S2,2,20,0.2,0.65,0.8125,0.0,1.0,-0.7357434323801869,0.08203972394643368
S2,2,20,0.2,0.7,0.8125,0.0,1.0,-0.7357434323801869,0.03989940047062831
S2,2,20,0.2,0.75,0.8,0.5,1.0,0.6610486543956868,0.08550446450488423
S2,2,20,0.2,0.8,0.8,0.5,1.0,0.6847532670958258,0.09954062160353169
S2,2,20,0.2,0.9,0.8,0.5,1.0,0.6610486543956868,0.19140994729396224
S2,2,20,0.2,1.0,0.8,0.5,1.0,0.6610486543956868,0.2443626886885012
S2,2,20,0.4,0.2,1.0,0.0,1.0,-0.8010975684807063,0.6762347645407946
S2,2,20,0.4,0.3,1.0,0.0,1.0,-0.8010975684807063,0.6442683023323369
S2,2,20,0.4,0.4,1.0,0.0,1.0,-0.8010975684807063,0.6016463527210596
S2,2,20,0.4,0.5,1.0,0.0,1.0,-0.8010975684807063,0.5419756232652715
S2,2,20,0.4,0.6,1.0,0.0,1.0,-0.8010975684807063,0.45246952908158933
S2,2,20,0.4,0.65,1.0,0.0,1.0,-0.8010975684807063,0.3885366046646735
S2,2,20,0.4,0.7,1.0,0.0,1.0,-0.8010975684807063,0.3032927054421191
S2,2,20,0.4,0.75,1.0,0.0,1.0,-0.8010975684807063,0.18395124653054284
S2,2,20,0.4,0.8,0.7058823529411765,0.5,1.0,0.7646080435375803,0.030241840036857565
S2,2,20,0.4,0.9,0.7058823529411765,0.5,1.0,0.7371186677392121,0.17397708439230986
S2,2,20,0.4,1.0,0.7058823529411765,0.5,1.0,0.7371186677392121,0.25271032833403123
S2,2,20,0.6,0.2,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7392834073699263,0.5168602193401435
S2,2,20,0.6,0.3,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7392834073699263,0.4811636334605363
S2,2,20,0.6,0.4,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7392834073699263,0.43356818562105987
S2,2,20,0.6,0.5,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7392834073699263,0.3669345586457929
S2,2,20,0.6,0.6,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7392834073699263,0.26698411818289247
S2,2,20,0.6,0.65,0.6153846153846154,0.023388194857824396,0.9766118051421756,-0.7392834073699263,0.19559094642367778
