Scene,Folder,p,q,Jaccard,Precision,Recall,argminC,avgConf,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.267065519,0.267065519,0.26200784,0.704874476,,,0.267065519,0.243494342,0.291222827,0.313049785,0.391764473,0.41691615,0.363136356,0.452338982,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.375106603,0.375106603,0.209689963,0.618767898,,,0.375106603,0.516910865,0.532011094,0.512987485,0.591908379,0.674071177,0.50187953,0.566067219,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.276057542,0.276057542,0.101052929,0.634815491,,,0.276057542,0.308286483,0.380380931,0.322083999,0.258606508,0.284451618,0.271904802,0.306981043,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",1,0.505763566,0.505763566,0.496554678,0.591246736,,,0.505763566,0.524255023,0.505173017,0.449742428,0.483405791,0.485113871,0.50956523,0.564162799,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",0.9,0.439683068,0.439683068,0.323772177,0.540747704,,,0.439683068,0.423710083,0.378522722,0.393174545,0.404379539,0.469261771,0.400087844,0.408127272,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.35876068,0.35876068,0.481853642,0.390802292,,,0.35876068,0.532336324,0.508409559,0.496747047,0.473476827,0.477280533,0.510790062,0.56685693,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",1,0.405748602,0.405748602,0.3872613,0.49353586,,,0.405748602,0.407761163,0.385042257,0.271840776,0.284299604,0.297516301,0.298445959,0.285338683,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.281021304,0.281021304,0.538521449,0.607534122,,,0.281021304,0.157004262,0.251862903,0.210534214,0.222965575,0.30172431,0.223217945,0.201543886,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.542697095,0.542697095,0.405855229,0.519035599,,,0.542697095,0.474040839,0.510510869,0.335788039,0.538766456,0.491703368,0.433433163,0.503536962,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",1,0.468588205,0.468588205,0.69877056,0.496517796,,,0.468588205,0.401572531,0.250544091,0.42841243,0.240823187,0.336268977,0.486002345,0.263265428,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.65715823,0.65715823,0.16187525,0.427292707,,,0.65715823,0.63495437,0.688652534,0.743470258,0.674862146,0.674071177,0.674862146,0.747642316,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.59596677,0.59596677,0.003330333,0.567668574,,,0.59596677,0.61759066,0.617503294,0.61759066,0.624416593,0.601439058,0.578098817,0.601439058,,,,,,,,,,,,,
