Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S4,3_4,20,0.6,0.3333333333333333,0.5308060153055784,0.46919398469442164
S4,3_4,20,0.8,0.2,0.06694681266993496,0.933053187330065
S4,3_5,20,0.0,0.6,0.3652043831043481,0.6347956168956519
S4,3_5,20,0.2,0.7647058823529411,0.48466630751063833,0.5153336924893617
S4,3_5,20,0.4,0.5555555555555556,0.5266057429089204,0.4733942570910797
S4,3_5,20,0.6,0.35294117647058826,0.40714381850263004,0.59285618149737
S4,3_5,20,0.8,0.2,0.5120985321448668,0.4879014678551333
S4,4_5,20,0.0,1.0,0.11946192440629022,0.8805380755937098
S4,4_5,20,0.2,0.8,0.11946192440629022,0.8805380755937098
S4,4_5,20,0.4,0.5882352941176471,0.11946192440629022,0.8805380755937098
S4,4_5,20,0.6,0.4375,0.13711133548795795,0.862888664512042
S4,4_5,20,0.8,0.2,0.13711133548795795,0.862888664512042
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S5,1_2,20,0.0,0.85,0.3634770455528029,0.6365229544471971
S5,1_2,20,0.2,0.7647058823529411,0.3634770455528029,0.6365229544471971
S5,1_2,20,0.4,0.6111111111111112,0.30916336697627367,0.6908366330237263
S5,1_2,20,0.6,0.4,0.46903240735682206,0.5309675926431779
S5,1_2,20,0.8,0.2,0.535979220026757,0.464020779973243
S5,1_3,20,0.0,0.75,0.2701103048648521,0.7298896951351479
S5,1_3,20,0.2,0.7647058823529411,0.2701103048648521,0.7298896951351479
S5,1_3,20,0.4,0.6666666666666666,0.2701103048648521,0.7298896951351479
S5,1_3,20,0.6,0.47058823529411764,0.2369287308131065,0.7630712691868935
S5,1_3,20,0.8,0.2,0.5168352730950427,0.4831647269049572
S5,1_4,20,0.0,0.8,0.06330405275351847,0.9366959472464815
S5,1_4,20,0.2,0.8235294117647058,0.4391646490268366,0.5608353509731634
S5,1_4,20,0.4,0.6666666666666666,0.4391646490268366,0.5608353509731634
S5,1_4,20,0.6,0.4,0.7719302959474145,0.22806970405258553
