Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S4,2_5,20,0.6,0.3157894736842105,0.16462272858054827,0.8353772714194517
S4,2_5,20,0.8,0.11764705882352941,0.13115602183520247,0.8688439781647975
S4,3_4,20,0.0,1.0,0.4458125636333883,0.5541874363666117
S4,3_4,20,0.2,0.8333333333333334,0.13389362533986993,0.43305318733006504
S4,3_4,20,0.4,0.631578947368421,0.4458125636333883,0.5541874363666117
S4,3_4,20,0.6,0.3333333333333333,0.13389362533986993,0.43305318733006504
S4,3_4,20,0.8,0.3,0.13389362533986993,0.43305318733006504
S4,3_5,20,0.0,0.75,0.23892384881258055,0.3805380755937097
S4,3_5,20,0.2,0.7368421052631579,0.23892384881258055,0.3805380755937097
S4,3_5,20,0.4,0.6,0.6747323547632444,0.4879014678551333
S4,3_5,20,0.6,0.3684210526315789,0.5120985321448668,0.4879014678551333
S4,3_5,20,0.8,0.15789473684210525,0.5120985321448668,0.4879014678551333
S4,4_5,20,0.0,0.85,0.01764941108166762,0.9823505889183324
S4,4_5,20,0.2,0.9411764705882353,0.09402203841474766,0.9059779615852523
S4,4_5,20,0.4,0.631578947368421,0.13711133548795795,0.862888664512042
S4,4_5,20,0.6,0.3,0.1864087370762253,0.8135912629237747
S4,4_5,20,0.8,0.11764705882352941,0.13711133548795795,0.862888664512042
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S5,1_2,20,0.0,1.0,0.38433521242907154,0.30783239378546423
S5,1_2,20,0.2,0.9411764705882353,0.38433521242907154,0.30783239378546423
S5,1_2,20,0.4,0.631578947368421,0.6512636281370963,0.34873637186290374
S5,1_2,20,0.6,0.4,0.7675090854247308,0.34873637186290374
S5,1_2,20,0.8,0.2222222222222222,0.6449649645397489,0.35503503546025106
S5,1_3,20,0.0,1.0,0.2304706292079598,0.7695293707920402
S5,1_3,20,0.2,0.75,0.3928454137015409,0.6071545862984591
S5,1_3,20,0.4,0.5789473684210527,0.3288018367444543,0.6711981632555457
