Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S3,1,20,0.8,0.2,0.5439006778439985,0.45609932215600146
S3,2,20,0.0,1.0,0.9380648147136441,0.06193518528635585
S3,2,20,0.2,0.8,0.9380648147136441,0.06193518528635585
S3,2,20,0.4,0.6,0.9380648147136441,0.06193518528635585
S3,2,20,0.6,0.4,0.9380648147136441,0.06193518528635585
S3,2,20,0.8,0.2,0.9380648147136441,0.06193518528635585
S3,3,20,0.0,1.0,0.19666241507298898,0.803337584927011
S3,3,20,0.2,0.8,0.19666241507298898,0.803337584927011
S3,3,20,0.4,0.6,0.19666241507298898,0.803337584927011
S3,3,20,0.6,0.4,0.19666241507298898,0.803337584927011
S3,3,20,0.8,0.2,0.19666241507298898,0.803337584927011
S3,4,20,0.0,1.0,0.9085938128777548,0.09140618712224526
S3,4,20,0.2,0.8,0.9085938128777548,0.09140618712224526
S3,4,20,0.4,0.6,0.9085938128777548,0.09140618712224526
S3,4,20,0.6,0.4,0.9085938128777548,0.09140618712224526
S3,4,20,0.8,0.2,0.9085938128777548,0.09140618712224526
S3,5,20,0.0,1.0,0.3761395244186124,0.6238604755813876
S3,5,20,0.2,0.8,0.3761395244186124,0.6238604755813876
S3,5,20,0.4,0.6,0.3761395244186124,0.6238604755813876
S3,5,20,0.6,0.4,0.3761395244186124,0.6238604755813876
S3,5,20,0.8,0.2,0.3761395244186124,0.6238604755813876
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S4,1_2,20,0.0,1.0,0.09032160834851599,0.454839195825742
S4,1_2,20,0.2,0.8,0.09032160834851599,0.454839195825742
S4,1_2,20,0.4,0.6,0.09032160834851599,0.454839195825742
S4,1_2,20,0.6,0.4,0.09032160834851599,0.454839195825742
S4,1_2,20,0.8,0.2,0.09032160834851599,0.454839195825742
S4,1_3,20,0.0,1.0,0.16008241936129153,0.41995879031935424
S4,1_3,20,0.2,0.8,0.16008241936129153,0.41995879031935424
S4,1_3,20,0.4,0.6,0.16008241936129153,0.41995879031935424
S4,1_3,20,0.6,0.4,0.16008241936129153,0.41995879031935424
S4,1_3,20,0.8,0.2,0.16008241936129153,0.41995879031935424
S4,1_4,20,0.0,1.0,0.13389362533986993,0.43305318733006504
S4,1_4,20,0.2,0.8,0.13389362533986993,0.43305318733006504
S4,1_4,20,0.4,0.6,0.13389362533986993,0.43305318733006504
S4,1_4,20,0.6,0.4,0.13389362533986993,0.43305318733006504
S4,1_4,20,0.8,0.2,0.13389362533986993,0.43305318733006504
S4,1_5,20,0.0,1.0,0.16008241936129153,0.41995879031935424
S4,1_5,20,0.2,0.8,0.16008241936129153,0.41995879031935424
S4,1_5,20,0.4,0.6,0.16008241936129153,0.41995879031935424
S4,1_5,20,0.6,0.4,0.16008241936129153,0.41995879031935424
S4,1_5,20,0.8,0.2,0.16008241936129153,0.41995879031935424
S4,2_3,20,0.0,1.0,0.09032160834851599,0.454839195825742
S4,2_3,20,0.2,0.8,0.09032160834851599,0.454839195825742
S4,2_3,20,0.4,0.6,0.09032160834851599,0.454839195825742
S4,2_3,20,0.6,0.4,0.09032160834851599,0.454839195825742
S4,2_3,20,0.8,0.2,0.09032160834851599,0.454839195825742
S4,2_4,20,0.0,1.0,0.09032160834851599,0.454839195825742
S4,2_4,20,0.2,0.8,0.09032160834851599,0.454839195825742
S4,2_4,20,0.4,0.6,0.09032160834851599,0.454839195825742
S4,2_4,20,0.6,0.4,0.09032160834851599,0.454839195825742
S4,2_4,20,0.8,0.2,0.09032160834851599,0.454839195825742
S4,2_5,20,0.0,1.0,0.09032160834851599,0.454839195825742
S4,2_5,20,0.2,0.8,0.09032160834851599,0.454839195825742
S4,2_5,20,0.4,0.6,0.09032160834851599,0.454839195825742
S4,2_5,20,0.6,0.4,0.09032160834851599,0.454839195825742
S4,2_5,20,0.8,0.2,0.09032160834851599,0.454839195825742
S4,3_4,20,0.0,1.0,0.13389362533986993,0.43305318733006504
S4,3_4,20,0.2,0.8,0.13389362533986993,0.43305318733006504
S4,3_4,20,0.4,0.6,0.13389362533986993,0.43305318733006504
S4,3_4,20,0.6,0.4,0.13389362533986993,0.43305318733006504
S4,3_4,20,0.8,0.2,0.13389362533986993,0.43305318733006504
S4,3_5,20,0.0,1.0,0.23892384881258055,0.3805380755937097
S4,3_5,20,0.2,0.8,0.23892384881258055,0.3805380755937097
