Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,4_5,20,0.6,0.571428571,0.035298822,0.482350589,-0.756087662,0.180726912,,,
S4,4_5,20,0.8,0.176470588,0.457605825,0.813591263,0.624272487,0.10303063,0.607972895,0.262394744,0.77931771
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S5,1_2,20,0,0.95,0.054255751,0.945744249,0.298245614,0.566760652,,,
S5,1_2,20,0.2,0.882352941,0.054255751,0.945744249,0.293979239,0.561232401,,,
S5,1_2,20,0.4,0.611111111,0.37042663,0.62957337,0.321530322,0.512511023,,,
S5,1_2,20,0.6,0.421052632,0.747304342,0.379043488,0.663804945,0.051707221,,,
S5,1_2,20,0.8,0.25,0.767509085,0.348736372,0.433333333,0.380952381,,,
S5,1_3,20,0,0.95,0,1,0.248890861,0.640413867,,,
S5,1_3,20,0.2,0.875,0.04697853,0.95302147,0.212656225,0.649066486,,,
S5,1_3,20,0.4,0.705882353,0.254466369,0.745533631,0.240514905,0.618116854,,,
S5,1_3,20,0.6,0.470588235,0.44966846,0.82549731,0.620205026,0.109016942,,,
S5,1_3,20,0.8,0.266666667,0.492764091,0.760853864,0.698457792,0.002185669,,,
S5,1_4,20,0,0.95,0.333333333,1,0.60224359,0.137712403,,,
S5,1_4,20,0.2,0.9375,0,1,0.360138904,0.445546618,,,
S5,1_4,20,0.4,0.923076923,0.12752416,0.87247584,0.395089286,0.394008001,,,
S5,1_4,20,0.6,0.470588235,0.620330759,0.379669241,0.557903635,0.19665122,,,
S5,1_4,20,0.8,0.266666667,0.661784745,0.338215255,0.322077922,0.512894249,,,
S5,1_5,20,0,0.85,0.337741907,0.99338714,0.69781746,0.003045927,,,
S5,1_5,20,0.2,0.736842105,0.500798952,0.748801571,0.695924924,0.005651742,,,
S5,1_5,20,0.4,0.8,0.247348537,0.376325732,-0.789725275,0.274160562,,,
S5,1_5,20,0.6,0.615384615,0.198780466,0.801219534,0.333333333,0.507440476,,,
S5,1_5,20,0.8,0.222222222,0.518495914,0.481504086,0.373368607,0.233308138,,,
S5,2_3,20,0,0.95,0.054255751,0.945744249,0.178149761,0.736181587,,,
S5,2_3,20,0.2,0.9375,0.101234281,0.898765719,0.156196944,0.730465613,,,
S5,2_3,20,0.4,0.75,0.640298136,0.539552796,0.640526438,0.083006752,,,
S5,2_3,20,0.6,0.5,0.66050288,0.509245681,0.625597346,0.099794035,,,
