Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,Graph_time,Cluster_time
S2,1,40,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7731186288664498,0.1018274038485058,0.21541881561279297,0.4767310619354248
S2,1,60,0.8,0.2,0.6744959662786709,0.976512101163987,0.6986587820115546,0.0006116066502433905,0.0827784538269043,0.09973335266113281
S2,1,80,0.8,0.2,0.5800412096806458,0.8399175806387085,0.5323626032247587,0.1197409976966009,0.22240543365478516,0.4418189525604248
S2,1,100,0.8,0.2,0.5117439494180065,0.976512101163987,0.5664723585424356,0.08296475601115932,0.19248557090759277,0.1825120449066162
S2,2,10,0.0,1.0,0.0,1.0,-0.7971018422343866,0.28796753596602853,0.0728006362915039,0.28424525260925293
S2,2,20,0.0,1.0,0.5,1.0,0.5594976043440562,0.14275614453149355,0.14960026741027832,1.0472002029418945
S2,2,40,0.0,0.8,0.0,1.0,-0.7543201810912463,0.06144312500441137,0.2383589744567871,0.27127885818481445
S2,2,60,0.0,0.6333333333333333,0.0,1.0,-0.8017772762268959,0.07405170593037622,0.4906880855560303,0.4587743282318115
S2,2,80,0.0,0.65,0.0,1.0,-0.8074906828777693,0.065687434672274,0.6542503833770752,0.5844383239746094
S2,2,100,0.0,0.67,0.0,1.0,-0.8175263095452674,0.07185730753818244,0.7839035987854004,0.6662197113037109
S2,2,10,0.2,0.75,0.0,1.0,-0.7494137318526906,0.05067503218241086,0.037897586822509766,0.2044544219970703
S2,2,20,0.2,1.0,0.0,1.0,-0.7390174070761599,0.12355512240783989,0.09574079513549805,0.4198801517486572
S2,2,40,0.2,0.65625,0.0,1.0,-0.8233002134041452,0.09708911557492045,0.16655254364013672,0.17254090309143066
S2,2,60,0.2,0.6666666666666666,0.0,1.0,-0.8185660093071122,0.06557352791169109,0.4637570381164551,0.507645845413208
S2,2,80,0.2,0.671875,0.0,1.0,-0.7778230872907616,0.04332484125432779,0.7539882659912109,0.7390203475952148
S2,2,100,0.2,0.7625,0.0,1.0,-0.7783114241786037,0.09136920598991148,0.8646860122680664,0.6223385334014893
S2,2,10,0.4,1.0,0.0,1.0,-0.8113098819325844,0.2991838252342613,0.11269402503967285,0.37899160385131836
S2,2,20,0.4,1.0,0.0,1.0,-0.8010975684807063,0.3032927054421191,0.14360761642456055,0.31516599655151367
S2,2,40,0.4,0.6666666666666666,0.023388194857824396,0.9766118051421756,-0.7337215377987728,0.106784869696114,0.22639107704162598,0.6163561344146729
S2,2,60,0.4,1.0,0.0,1.0,-0.7597197121557903,0.17915913646737092,0.6213297843933105,0.6781961917877197
S2,2,80,0.4,0.875,0.0,1.0,-0.8018063569367944,0.27684459105689607,0.6183421611785889,0.5615036487579346
S2,2,100,0.4,0.8666666666666667,0.0,1.0,-0.7929440418191556,0.2594343020067244,2.097390651702881,1.4850318431854248
S2,2,10,0.6,0.4444444444444444,0.5116940974289121,0.9766118051421756,0.6770969577662693,0.03271863176247233,0.027924299240112305,0.35704684257507324
S2,2,20,0.6,0.4444444444444444,0.5116940974289121,0.9766118051421756,0.618771427581144,0.07290662322834073,0.10172319412231445,0.49767374992370605
S2,2,40,0.6,0.4444444444444444,0.5116940974289121,0.9766118051421756,0.5873120849999377,0.11133077854690591,0.3979299068450928,2.186161756515503
S2,2,60,0.6,0.5454545454545454,0.023388194857824396,0.9766118051421756,-0.7641571747275222,0.045451641820001,0.6412787437438965,0.6781942844390869
S2,2,80,0.6,0.48148148148148145,0.023388194857824396,0.9766118051421756,-0.7692219850782618,0.17689800524973767,0.44580554962158203,1.1678798198699951
S2,2,100,0.6,0.5263157894736842,0.023388194857824396,0.9766118051421756,-0.7434082121361819,0.12733075559946705,0.6492605209350586,0.5754656791687012
