mu,10,gamma,0.7,min_support,0.3,,,
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
jac,LIP,MLMSSM,avgConf,cc,,,,
0.419354839,0.667499135,0.997502594,0.07057836,0.615993044,,,,
0.516129032,0.667499135,0.997502594,0.106069148,0.575366716,,,,
0.363636364,0.674495966,0.976512101,0.013346531,0.673278638,,,,
0.382352941,0.720027473,0.839917581,0.12550608,0.603532582,,,,
0.382352941,0.720027473,0.839917581,0.132810452,0.598272845,,,,
0.413793103,0.511743949,0.976512101,0.019919232,0.656008526,,,,
0.413793103,0.511743949,0.976512101,0.016954534,0.662556039,,,,
0.382352941,0.674495966,0.976512101,0.016616573,0.673723367,,,,
0.40625,0.667499135,0.997502594,0.11191762,0.603465479,,,,
0.4,0.511743949,0.976512101,0.014023968,0.677802681,,,,
0.4,0.511743949,0.976512101,0.012626101,0.680015242,,,,
0.4,0.511743949,0.976512101,0.028646914,0.636795003,,,,
S2,1,40,0.6,0.516129032,0.667499135,0.997502594,0.561531189,0.118685052
jac,LIP,MLMSSM,avgConf,cc,,,,
0.2,0.023487899,0.976512101,0.085508964,-0.761400939,,,,
0.2,0.511743949,0.976512101,0.035926477,0.64461075,,,,
0.2,0.511743949,0.976512101,0.103059371,0.541109354,,,,
0.2,0.023487899,0.976512101,0.088768466,-0.763741471,,,,
0.2,0.023487899,0.976512101,0.042697475,-0.730659535,,,,
0.2,0.511743949,0.976512101,0.095085446,0.553403064,,,,
0.2,0.023487899,0.976512101,0.084019022,-0.760331065,,,,
0.2,0.023487899,0.976512101,0.001340532,-0.700962588,,,,
0.2,0.023487899,0.976512101,0.098549974,-0.770765223,,,,
0.2,0.023487899,0.976512101,0.063473458,-0.745578028,,,,
0.2,0.023487899,0.976512101,0.096302626,-0.769151483,,,,
0.2,0.023487899,0.976512101,0.029729022,-0.721347351,,,,
0.2,0.023487899,0.976512101,0.019601,-0.71407478,,,,
0.2,0.511743949,0.976512101,0.099387742,0.546770047,,,,
0.2,0.023487899,0.976512101,0.047309011,-0.733970914,,,,
0.2,0.511743949,0.976512101,0.097911221,0.549046457,,,,
0.2,0.511743949,0.976512101,0.012431777,0.679783346,,,,
0.2,0.511743949,0.976512101,0.092608537,0.557221812,,,,
0.2,0.023487899,0.976512101,0.013063083,-0.709380135,,,,
S2,1,40,0.8,0.2,0.023487899,0.976512101,-0.770765223,0.098549974
jac,LIP,MLMSSM,avgConf,cc,,,,
1,0,1,0.071030434,-0.726820001,,,,
1,0.5,1,0.055142766,0.654541622,,,,
S2,1,60,0,1,0.5,1,0.654541622,0.055142766
jac,LIP,MLMSSM,avgConf,cc,,,,
0.8,0.511743949,0.976512101,0.020743161,0.661947252,,,,
0.8,0.674495966,0.976512101,0.010418193,0.681560627,,,,
0.8,0.511743949,0.976512101,0.043591743,0.619448587,,,,
0.8,0.511743949,0.976512101,0.04305669,0.620437289,,,,
0.8,0.511743949,0.976512101,0.040162761,0.625784863,,,,
0.8,0.023487899,0.976512101,0.037086531,-0.734535894,,,,
0.941176471,0.5,1,0.070893923,0.640243297,,,,
S2,1,60,0.2,0.8,0.511743949,0.976512101,0.619448587,0.043591743
jac,LIP,MLMSSM,avgConf,cc,,,,
0.6,0.58004121,0.839917581,0.059089025,0.413208807,,,,
0.6,0.58004121,0.839917581,0.059362732,0.41188036,,,,
0.6,0.674495966,0.976512101,0.018628353,0.661958775,,,,
0.6,0.58004121,0.839917581,0.061004178,0.403913526,,,,
0.6,0.58004121,0.839917581,0.060438939,0.406656938,,,,
0.6,0.674495966,0.976512101,0.022853964,0.656293321,,,,
0.6,0.674495966,0.976512101,0.018762196,0.661685454,,,,
0.6,0.674495966,0.976512101,0.000445146,0.699280936,,,,
0.6,0.674495966,0.976512101,0.031009641,0.649908718,,,,
0.6,0.511743949,0.976512101,0.081691123,0.504157113,,,,
0.6,0.58004121,0.839917581,0.058930853,0.412339075,,,,
0.6,0.674495966,0.976512101,0.000481667,0.69922515,,,,
0.6,0.674495966,0.976512101,0.018290492,0.662648727,,,,
0.6,0.674495966,0.976512101,0.031317851,0.649410852,,,,
0.6,0.674495966,0.976512101,0.02462447,0.656620097,,,,
0.857142857,0.501248703,0.997502594,0.239547302,0.261146054,,,,
0.857142857,0.501248703,0.997502594,0.237656738,0.264609592,,,,
S2,1,60,0.4,0.857142857,0.501248703,0.997502594,0.261146054,0.239547302
jac,LIP,MLMSSM,avgConf,cc,,,,
0.4,0.511743949,0.976512101,0.047104985,0.623807401,,,,
0.4,0.511743949,0.976512101,0.037055564,0.639499882,,,,
0.4,0.023487899,0.976512101,0.113499038,-0.784148342,,,,
0.4,0.023487899,0.976512101,0.099420716,-0.773710655,,,,
0.4,0.023487899,0.976512101,0.109960404,-0.781524794,,,,
0.4,0.511743949,0.976512101,0.030914885,0.64980317,,,,
0.4,0.511743949,0.976512101,0.004120307,0.693506503,,,,
0.406779661,0.720027473,0.839917581,0.027919939,0.668868032,,,,
0.428571429,0.501248703,0.997502594,0.153418164,0.348935424,,,,
0.48,0.501248703,0.997502594,0.157090734,0.340531535,,,,
0.375,0.720027473,0.839917581,0.06152806,0.652394514,,,,
S2,1,60,0.6,0.48,0.501248703,0.997502594,0.340531535,0.157090734
jac,LIP,MLMSSM,avgConf,cc,,,,
0.2,0.674495966,0.976512101,0.000611607,0.698658782,,,,
0.2,0.674495966,0.976512101,0.003577837,0.693187741,,,,
0.2,0.023487899,0.976512101,0.02704534,-0.725406196,,,,
0.2,0.023487899,0.976512101,0.016849818,-0.715828596,,,,
0.2,0.511743949,0.976512101,0.000678098,0.698626463,,,,
0.2,0.511743949,0.976512101,0.048271021,0.615321484,,,,
0.2,0.511743949,0.976512101,0.037081432,0.635792173,,,,
S2,1,60,0.8,0.2,0.511743949,0.976512101,0.615321484,0.048271021
jac,LIP,MLMSSM,avgConf,cc,,,,
1,0.5,1,0.060356111,0.651606275,,,,
1,0.666666667,1,0.041566992,0.6671757,,,,
S2,1,80,0,1,0.5,1,0.651606275,0.060356111
jac,LIP,MLMSSM,avgConf,cc,,,,
0.96969697,0.501248703,0.997502594,0.215999024,0.430285286,,,,
0.96969697,0.501248703,0.997502594,0.032038101,0.657086238,,,,
1,0.5,1,0.274398897,0.461950184,,,,
0.8,0.511743949,0.976512101,0.17340055,0.402323464,,,,
0.8,0.511743949,0.976512101,0.177580899,0.395147064,,,,
0.96969697,0.501248703,0.997502594,0.009627781,0.688043224,,,,
0.8,0.674495966,0.976512101,0.032812285,0.626325368,,,,
0.8,0.511743949,0.976512101,0.161262616,0.423160644,,,,
0.842105263,0.5,1,0.030581304,0.673036096,,,,
1,0,1,0.049034395,-0.719677473,,,,
S2,1,80,0.2,0.8,0.511743949,0.976512101,0.395147064,0.177580899
jac,LIP,MLMSSM,avgConf,cc,,,,
0.6,0.511743949,0.976512101,0.028351478,0.654915511,,,,
0.6,0.674495966,0.976512101,0.016399717,0.672273684,,,,
0.6,0.511743949,0.976512101,0.02585682,0.651951593,,,,
0.6,0.5,1,0.049081875,0.618026283,,,,
0.6,0.511743949,0.976512101,0.057595364,0.606366645,,,,
0.6,0.501248703,0.997502594,0.039149389,0.608005942,,,,
0.6,0.511743949,0.976512101,0.12884303,0.485103413,,,,
0.6,0.674495966,0.976512101,0.148436728,0.468429924,,,,
0.607594937,0.5,1,0.053125866,0.611272243,,,,
0.6,0.511743949,0.976512101,0.059192913,0.603769493,,,,
0.6,0.674495966,0.976512101,0.073568836,0.585228264,,,,
0.607594937,0.58004121,0.839917581,0.076540569,0.582734071,,,,
0.857142857,0.501248703,0.997502594,0.258353429,0.45569869,,,,
0.607594937,0.58004121,0.839917581,0.176053491,0.453525113,,,,
0.727272727,0.667499135,0.997502594,0.434339091,0.332314683,,,,
0.6,0.674495966,0.976512101,0.014858391,0.675864438,,,,
0.6,0.511743949,0.976512101,0.02725803,0.653029587,,,,
0.6,0.511743949,0.976512101,0.134087848,0.47635561,,,,
0.615384615,0.58004121,0.839917581,0.107091073,0.550072498,,,,
0.623376623,0.58004121,0.839917581,0.220899147,0.390741195,,,,
0.615384615,0.720027473,0.839917581,0.124842955,0.568914897,,,,
0.727272727,0.667499135,0.997502594,0.357890336,0.398791484,,,,
S2,1,80,0.4,0.727272727,0.667499135,0.997502594,0.332314683,0.434339091
jac,LIP,MLMSSM,avgConf,cc,,,,
0.4,0.674495966,0.976512101,0.073984787,0.586393832,,,,
0.4,0.023487899,0.976512101,0.026839682,-0.72032569,,,,
0.4,0.511743949,0.976512101,0.018043724,0.670127294,,,,
0.4,0.023487899,0.976512101,0.061839033,-0.746830696,,,,
0.4,0.674495966,0.976512101,0.075181515,0.584556216,,,,
0.4,0.023487899,0.976512101,0.057780841,-0.743757427,,,,
0.4,0.707847799,0.876456603,0.119531665,0.591823978,,,,
0.426666667,0.667499135,0.997502594,0.202639244,0.429784766,,,,
0.4,0.511743949,0.976512101,0.069965576,0.588131417,,,,
0.4,0.707847799,0.876456603,0.126069379,0.585907353,,,,
0.561403509,0.667499135,0.997502594,0.207999334,0.424780403,,,,
0.4,0.707847799,0.876456603,0.132813641,0.579803804,,,,
S2,1,80,0.6,0.561403509,0.667499135,0.997502594,0.424780403,0.207999334
jac,LIP,MLMSSM,avgConf,cc,,,,
0.2,0.674495966,0.976512101,0.025143658,0.662384406,,,,
0.2,0.511743949,0.976512101,0.071302571,0.580780199,,,,
0.2,0.511743949,0.976512101,0.104618826,0.525074532,,,,
0.2,0.674495966,0.976512101,0.024770816,0.660530401,,,,
0.2,0.674495966,0.976512101,0.040578242,0.633113351,,,,
0.2,0.674495966,0.976512101,0.009362735,0.685972188,,,,
0.2,0.511743949,0.976512101,0.042903295,0.630384028,,,,
0.2,0.674495966,0.976512101,0.046762069,0.627109578,,,,
0.2,0.511743949,0.976512101,0.138947494,0.485866816,,,,
0.2,0.511743949,0.976512101,0.109982504,0.516106319,,,,
0.2,0.674495966,0.976512101,0.032899286,0.648154648,,,,
0.2,0.674495966,0.976512101,0.018505722,0.667782691,,,,
S2,1,80,0.8,0.2,0.511743949,0.976512101,0.485866816,0.138947494
jac,LIP,MLMSSM,avgConf,cc,,,,
1,0,1,0.034130032,-0.712320883,,,,
1,0,1,0.045115834,-0.716286739,,,,
1,0,1,0.051769207,-0.718688595,,,,
1,0,1,0.030886174,-0.711149856,,,,
S2,1,100,0,1,0,1,-0.718688595,0.051769207
jac,LIP,MLMSSM,avgConf,cc,,,,
0.91954023,0.5,1,0.316765615,0.450422759,,,,
0.91954023,0.5,1,0.333490982,0.437694143,,,,
0.833333333,0.5,1,0.093723147,0.619473752,,,,
0.987654321,0.002497406,0.997502594,0.064930167,-0.737486924,,,,
0.909090909,0.501248703,0.997502594,0.276695686,0.447410632,,,,
0.8,0.511743949,0.976512101,0.092609262,0.528472132,,,,
0.909090909,0.501248703,0.997502594,0.277499417,0.446676923,,,,
0.8,0.674495966,0.976512101,0.131676842,0.47561912,,,,
0.8,0.511743949,0.976512101,0.135239786,0.449513258,,,,
0.8,0.023487899,0.976512101,0.045887099,-0.740988589,,,,
0.8,0.511743949,0.976512101,0.015791673,0.668842629,,,,
0.833333333,0.5,1,0.057724124,0.650027264,,,,
0.8,0.511743949,0.976512101,0.132633076,0.454341322,,,,
1,0,1,0.19325769,-0.775421169,,,,
0.8,0.674495966,0.976512101,0.000504259,0.699075192,,,,
S2,1,100,0.2,0.91954023,0.5,1,0.437694143,0.333490982
jac,LIP,MLMSSM,avgConf,cc,,,,
0.6,0.720027473,0.839917581,0.048349644,0.649232874,,,,
0.6,0.511743949,0.976512101,0.062429471,0.59157569,,,,
0.6,0.674495966,0.976512101,0.062562333,0.594479825,,,,
0.6,0.511743949,0.976512101,0.092639777,0.543177921,,,,
0.6,0.511743949,0.976512101,0.064010034,0.58883065,,,,
0.6,0.674495966,0.976512101,0.034337591,0.644474117,,,,
0.612244898,0.720027473,0.839917581,0.050937594,0.646515527,,,,
0.604395604,0.674495966,0.976512101,0.00739177,0.688654257,,,,
0.6,0.674495966,0.976512101,0.01983033,0.66513939,,,,
0.6,0.023487899,0.976512101,0.016730269,-0.715005903,,,,
0.6,0.674495966,0.976512101,0.066024623,0.588640186,,,,
0.612244898,0.58004121,0.839917581,0.121050052,0.524686131,,,,
0.618556701,0.666666667,1,0.049799499,0.644053461,,,,
S2,1,100,0.4,0.612244898,0.58004121,0.839917581,0.524686131,0.121050052
