Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S3,2,20,0.6,0.42105263157894735,0.554255751335845,0.8914884973283099,0.23543033360407967,0.3052383615310116,0.13152616576897452,0.7647702868518081,108.62319846759773
S3,2,20,0.8,0.2,0.8377633124809363,0.32447337503812745,0.4205126933914346,0.07949370690363416,0.20724346700806212,0.6728586721294898,68.63284261141514
S3,3,20,0.0,1.0,0.0,1.0,-0.7820428296594102,0.27347609886470076,1.0,-1.0,0.0
S3,3,20,0.2,1.0,0.0,1.0,-0.8790899989951331,0.555925205214059,1.0,-1.0,0.0
S3,3,20,0.4,0.6666666666666666,0.5469785299355284,0.9060429401289432,0.550659074557043,0.14689767277983584,0.16121516560782545,0.7131240019365022,93.61330722832973
S3,3,20,0.6,0.5,0.09395705987105685,0.9060429401289432,-0.7714155111085951,0.21424653332578533,1.0,-1.0,0.0
S3,3,20,0.8,0.26666666666666666,0.19666241507298898,0.803337584927011,-0.8366482935064941,0.3985575227272744,1.0,-1.0,0.0
S3,4,20,0.0,1.0,0.0,1.0,-0.9911437199634675,0.9704790665448917,1.0,-1.0,0.0
S3,4,20,0.2,1.0,0.0,1.0,0.6575498575498575,0.05930534607005196,0.0059657279402151615,0.9354962980952561,2662.9057734204575
S3,4,20,0.4,0.8571428571428571,0.6516065300156342,0.6967869399687315,0.008931551610056598,0.28022383180352733,0.005266234026393528,0.9808860495949029,2972.8240509917036
S3,4,20,0.6,0.5333333333333333,0.9281631525517207,0.14367369489655876,0.43109711496433234,0.225493729161319,0.116194094358246,0.8385852972680125,136.1414431336061
S3,4,20,0.8,0.3076923076923077,0.8652043831043481,0.2695912337913038,0.6554470516163428,0.013763103022572679,0.16043711506197603,0.773444299259512,92.24765909922468
S3,5,20,0.0,0.8,0.0,1.0,-0.935626389157133,0.6782925296542195,1.0,-1.0,0.0
S3,5,20,0.2,1.0,0.023487898836012988,0.976512101163987,-0.8303517189818614,0.17517751588413363,1.0,-1.0,0.0
S3,5,20,0.4,0.8,0.5350415557198817,0.9299168885602367,0.625948209749155,0.0450813442368379,0.16957771655432732,0.7223669987426224,87.93034019534066
S3,5,20,0.6,0.47058823529411764,0.5800412096806458,0.8399175806387085,0.5219696880576067,0.2328158899617983,0.09596793228884733,0.8029571706797112,165.87845831014047
S3,5,20,0.8,0.2,0.506612859781765,0.98677428043647,0.3919952579697632,0.1900172326180845,0.21956262967190363,0.6691524385392611,63.136788470539116
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S4,1_2,20,0.0,0.85,0.0,1.0,0.6236261340435226,0.06898991948591501,0.18967339852557366,0.6613549520553127,74.66718874190393
S4,1_2,20,0.2,0.7894736842105263,0.011743949418006494,0.9882560505819935,0.6348955594461645,0.027564302745686668,0.24976310345297625,0.6447604918527843,51.00565706538295
S4,1_2,20,0.4,0.8571428571428571,0.011694097428912142,0.9883059025710879,0.5713420384746885,0.15718320610320513,0.10077450279429463,0.7782481494566108,143.23425952647207
S4,1_2,20,0.6,0.4666666666666667,0.36719986443608443,0.9492002033458733,0.5326315099540824,0.11026973015147261,0.27236986917294537,0.6777335523251736,51.62545563503473
S4,1_2,20,0.8,0.23529411764705882,0.34895869789794576,0.9765619531530814,0.6129750246329431,0.04866196388444862,0.2943717954671206,0.657174538365732,48.85092383033927
S4,1_3,20,0.0,0.9,0.0,1.0,0.5088838353838068,0.24683581165218543,0.1152205169707093,0.79328550860057,133.78713740347905
S4,1_3,20,0.2,0.9411764705882353,0.2565055675624739,0.7434944324375261,0.5565308673174674,0.12029499939927608,0.09609088122643782,0.8431120827696204,163.63071957153159
S4,1_3,20,0.4,0.6,0.3866941397870972,0.9199587903193542,0.32698217726870304,0.3552550692679018,0.18524606438689867,0.7685665297898178,82.0081987711899
S4,1_3,20,0.6,0.3333333333333333,0.23144248458130667,0.38427875770934666,-0.7652667126440834,0.02494588498810579,1.0,-1.0,0.0
S4,1_3,20,0.8,0.1111111111111111,0.602920371437722,0.5956194428434171,0.6548803140848667,0.01563216664634241,0.4385588491380734,0.5404266761890649,29.86766675220095
S4,1_4,20,0.0,0.55,0.18266805496058836,0.8173319450394116,0.6950524201838805,0.002186263376193819,0.033643150282186604,0.9014044809811791,516.2926621446782
S4,1_4,20,0.2,0.7058823529411765,0.03019122803149077,0.9698087719685092,0.6192299485553436,0.06479403698487364,0.14002961636795294,0.7537192535131589,110.435071648711
S4,1_4,20,0.4,0.6,0.14698802235058073,0.8530119776494193,0.6792735301343995,0.0006882891325893863,0.19803407690465166,0.6731390440732496,72.29443850740113
S4,1_4,20,0.6,0.25,0.029393360499674115,0.9706066395003259,0.6362050491128943,0.033028094493258095,0.12349739262355491,0.7559598442163756,126.0550800759329
S4,1_4,20,0.8,0.15384615384615385,0.029393360499674115,0.9706066395003259,0.6079099227530134,0.05182101235633915,0.1726836060257324,0.7137864056427787,84.76479753356688
S4,1_5,20,0.0,0.85,0.13120587382429671,0.8687941261757033,0.3710037285743719,0.19926695027433844,0.106629769673288,0.7780766558775012,148.26525653280635
S4,1_5,20,0.2,0.8823529411764706,0.41380708500419316,0.8792893724937102,0.5479365602781394,0.12710172486153307,0.21726379326776527,0.707732321651856,53.81409714824991
S4,1_5,20,0.4,0.631578947368421,0.16008241936129153,0.41995879031935424,0.4656527176604774,0.0,0.04780215724896499,0.8900940299000353,336.2713113191255
